SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
4,0.029710032045841217,1,3,120.96509552001953,761.json,NotBuggy
3,0.05106101557612419,1,1,129.4591827392578,474.json,NotBuggy
6,0.03549797087907791,2,1,113.12316131591797,922.json,Buggy
6,0.19568845629692078,1,2,114.21735382080078,274.json,NotBuggy
4,0.6373415589332581,1,0,126.19583892822266,260.json,NotBuggy
3,0.6539820432662964,2,2,128.89540100097656,26.json,NotBuggy
6,0.009293199516832829,2,3,112.9548110961914,326.json,NotBuggy
3,0.04265778511762619,1,2,128.31268310546875,858.json,NotBuggy
3,0.6561794281005859,1,0,132.43687438964844,194.json,NotBuggy
3,0.027191128581762314,1,1,129.58164978027344,469.json,NotBuggy
3,0.7584370970726013,1,0,133.59722900390625,188.json,NotBuggy
3,0.5367178916931152,1,1,129.9696044921875,632.json,NotBuggy
3,0.03436896204948425,1,2,129.12539672851562,129.json,NotBuggy
3,0.025939302518963814,1,1,129.58164978027344,908.json,NotBuggy
3,0.07440891116857529,1,1,129.69032287597656,152.json,NotBuggy
3,7.12146982550621E-4,1,1,128.436279296875,898.json,NotBuggy
9,0.3925971984863281,2,2,107.90960693359375,574.json,Buggy
3,0.31101417541503906,1,2,131.28770446777344,614.json,NotBuggy
4,7.779189618304372E-4,2,7,117.5948715209961,884.json,NotBuggy
3,0.7808693647384644,1,1,131.60296630859375,885.json,NotBuggy
3,0.050716906785964966,1,1,129.57785034179688,681.json,NotBuggy
3,0.9624053239822388,1,0,132.4454345703125,572.json,NotBuggy
3,0.8570596575737,1,1,132.61029052734375,59.json,NotBuggy
4,0.6652047634124756,1,5,123.37702178955078,30.json,NotBuggy
3,0.7007753849029541,1,1,132.25152587890625,680.json,NotBuggy
4,0.7495776414871216,1,2,126.04888916015625,248.json,NotBuggy
7,0.5581401586532593,2,2,112.75433349609375,95.json,NotBuggy
12,0.31903448700904846,4,5,100.30009460449219,120.json,NotBuggy
5,0.5077788233757019,1,2,119.58580780029297,182.json,NotBuggy
4,0.03102298267185688,1,3,122.5949478149414,163.json,NotBuggy
8,0.12444764375686646,2,5,108.18831634521484,44.json,NotBuggy
3,0.9229853749275208,1,0,133.59722900390625,767.json,NotBuggy
3,0.6637201905250549,1,1,131.75106811523438,553.json,NotBuggy
4,0.03748269006609917,1,1,123.37332153320312,481.json,NotBuggy
3,0.6623153686523438,1,0,133.59722900390625,827.json,NotBuggy
12,0.06541818380355835,3,8,97.51913452148438,359.json,NotBuggy
4,0.03645199164748192,1,1,123.37332153320312,485.json,NotBuggy
3,0.7273336052894592,1,1,130.45266723632812,703.json,NotBuggy
3,0.9257204532623291,1,0,131.9385528564453,18.json,NotBuggy
3,0.5985664129257202,1,2,131.91592407226562,716.json,NotBuggy
7,0.3141952157020569,2,2,112.25464630126953,226.json,NotBuggy
3,0.5215373635292053,1,0,130.30841064453125,47.json,NotBuggy
8,0.7079459428787231,1,0,112.25189971923828,768.json,NotBuggy
2,0.9338979721069336,1,0,140.82913208007812,250.json,NotBuggy
3,0.7287477254867554,1,1,132.25152587890625,634.json,NotBuggy
3,0.9136325716972351,1,0,133.59722900390625,828.json,NotBuggy
3,0.3294123411178589,1,1,129.47398376464844,327.json,NotBuggy
21,9.540092432871461E-4,5,13,84.92340087890625,8.json,NotBuggy
12,0.3389878273010254,4,5,100.30009460449219,71.json,NotBuggy
3,0.3353450894355774,1,1,129.57785034179688,463.json,NotBuggy
3,0.7712010145187378,1,0,131.9385528564453,620.json,NotBuggy
17,0.042325474321842194,4,7,92.5592269897461,771.json,Buggy
12,0.05508698150515556,3,3,101.0925521850586,783.json,NotBuggy
4,0.7832897901535034,2,0,123.14331817626953,146.json,NotBuggy
3,0.7266921997070312,1,1,131.60296630859375,134.json,NotBuggy
14,0.0028266797307878733,5,13,93.3761215209961,405.json,NotBuggy
17,0.015037245117127895,3,6,91.66033935546875,845.json,NotBuggy
3,0.7842780947685242,1,0,131.91592407226562,760.json,NotBuggy
4,0.08435248583555222,1,4,122.12896728515625,868.json,NotBuggy
3,0.7631210684776306,1,0,130.18594360351562,58.json,NotBuggy
4,0.6833291053771973,2,0,122.57898712158203,598.json,NotBuggy
3,0.6997820734977722,1,2,131.91592407226562,529.json,NotBuggy
3,0.8153032660484314,1,0,128.83535766601562,5.json,NotBuggy
3,0.35476523637771606,1,1,130.7338104248047,638.json,NotBuggy
3,0.5256512761116028,1,1,129.93223571777344,296.json,NotBuggy
3,0.03034914843738079,1,1,129.58164978027344,918.json,NotBuggy
3,0.4380427300930023,1,1,130.7338104248047,439.json,NotBuggy
3,0.5720880627632141,1,0,130.70933532714844,98.json,NotBuggy
4,0.04115273058414459,1,1,124.48601531982422,500.json,NotBuggy
3,0.271053284406662,1,3,129.69032287597656,536.json,NotBuggy
4,0.2653011977672577,1,0,122.60874938964844,177.json,NotBuggy
3,0.1131587028503418,1,2,128.712890625,34.json,NotBuggy
7,0.5741183757781982,2,2,112.75433349609375,533.json,NotBuggy
11,0.15246638655662537,3,5,100.20010375976562,393.json,NotBuggy
6,0.06227011978626251,2,1,115.56517028808594,921.json,Buggy
