SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
11,0.48860079050064087,3,3,102.31302642822266,104.json,NotBuggy
3,0.28196001052856445,1,2,133.39190673828125,761.json,Buggy
6,0.02076513133943081,1,0,118.48686981201172,2260.json,NotBuggy
68,0.0,18,32,57.047630310058594,1843.json,NotBuggy
7,0.32979732751846313,3,3,109.1744384765625,3173.json,NotBuggy
3,0.5652111768722534,1,0,132.4454345703125,922.json,NotBuggy
3,0.6625103950500488,1,0,131.28770446777344,274.json,NotBuggy
2,0.9942559003829956,1,0,139.0139617919922,260.json,NotBuggy
26,0.0,6,16,78.48089599609375,2930.json,Buggy
5,0.6143253445625305,2,3,117.49811553955078,2527.json,NotBuggy
17,0.003680378431454301,9,7,90.08313751220703,3191.json,NotBuggy
1,0.9536150693893433,1,0,148.41885375976562,26.json,NotBuggy
20,0.0,5,7,85.35074615478516,326.json,NotBuggy
13,1.1091727355960757E-4,2,4,95.61141967773438,2812.json,Buggy
7,1.613221684237942E-4,3,8,107.5660400390625,2121.json,NotBuggy
3,0.5582119822502136,1,1,130.7338104248047,2094.json,NotBuggy
1,0.0,1,0,149.08523559570312,88.json,NotBuggy
24,0.0020065654534846544,8,6,82.75666809082031,3156.json,Buggy
1,0.10622367262840271,1,0,148.95103454589844,858.json,NotBuggy
3,0.6096163392066956,1,0,130.7338104248047,1581.json,Buggy
17,0.005658093374222517,6,11,90.76437377929688,194.json,NotBuggy
3,0.0,1,4,127.01653289794922,839.json,NotBuggy
7,0.15170317888259888,2,3,111.8573226928711,1871.json,NotBuggy
7,0.11043845117092133,1,1,111.58363342285156,469.json,Buggy
7,0.005385085009038448,1,1,109.54849243164062,632.json,NotBuggy
9,0.01991090178489685,3,1,103.672607421875,2297.json,NotBuggy
18,0.0,5,12,87.50303649902344,1528.json,NotBuggy
37,0.0,1,46,70.97749328613281,1404.json,NotBuggy
21,0.0025521176867187023,5,2,85.60858917236328,2739.json,Buggy
3,0.007972425781190395,1,0,124.63170623779297,908.json,NotBuggy
5,0.003948974888771772,1,3,117.93329620361328,2710.json,NotBuggy
10,0.1877197027206421,3,5,102.92267608642578,452.json,NotBuggy
1,0.004632729105651379,1,0,147.87098693847656,84.json,NotBuggy
1,0.9934852719306946,1,0,150.24295043945312,855.json,NotBuggy
3,0.03822178393602371,1,1,129.2378692626953,544.json,NotBuggy
4,0.6158702373504639,2,2,122.80022430419922,1423.json,NotBuggy
6,0.0,1,7,111.37998962402344,3127.json,NotBuggy
12,0.34687092900276184,5,5,97.46047973632812,898.json,NotBuggy
3,0.01661730371415615,1,1,128.31268310546875,574.json,NotBuggy
3,0.4361003339290619,1,0,132.25152587890625,614.json,NotBuggy
4,0.9570810198783875,2,0,124.45625305175781,1556.json,NotBuggy
5,4.190635809209198E-4,1,1,115.84668731689453,629.json,NotBuggy
3,0.7212831974029541,1,1,132.25152587890625,1646.json,NotBuggy
3,0.0,1,1,128.22288513183594,1402.json,NotBuggy
29,0.001277449424378574,13,11,76.88689422607422,884.json,NotBuggy
6,0.5626803636550903,3,1,115.40640258789062,885.json,NotBuggy
3,0.5985299944877625,1,1,130.99049377441406,1601.json,NotBuggy
10,0.39373543858528137,3,3,102.85283660888672,681.json,NotBuggy
5,0.3033381998538971,2,5,116.31117248535156,2850.json,NotBuggy
3,0.38403597474098206,1,1,130.85745239257812,572.json,NotBuggy
4,0.32480692863464355,1,2,124.4649429321289,1790.json,NotBuggy
5,0.039896782487630844,2,1,116.52787017822266,925.json,NotBuggy
10,0.03030349314212799,1,3,101.54364776611328,2906.json,NotBuggy
3,0.19306185841560364,1,0,129.9696044921875,59.json,NotBuggy
7,0.16262485086917877,2,2,110.40240478515625,1805.json,NotBuggy
5,0.008345769718289375,2,4,115.4642105102539,876.json,NotBuggy
1,0.9761024117469788,1,0,151.39474487304688,30.json,NotBuggy
6,0.03728412836790085,1,1,112.53628540039062,680.json,NotBuggy
3,0.5647849440574646,1,1,130.70933532714844,549.json,NotBuggy
29,0.0,10,18,76.18558502197266,1150.json,NotBuggy
3,0.6885305643081665,1,1,130.99049377441406,387.json,NotBuggy
5,0.0034194865729659796,1,3,117.93329620361328,2635.json,NotBuggy
1,0.659740686416626,1,0,149.2662811279297,95.json,NotBuggy
3,0.13615356385707855,1,2,128.8092498779297,2224.json,NotBuggy
13,0.0024347470607608557,4,5,96.93601989746094,1127.json,NotBuggy
3,0.6386324763298035,1,1,128.0337677001953,1893.json,NotBuggy
51,0.0,24,18,62.007694244384766,182.json,NotBuggy
10,0.9225186109542847,2,1,105.8797378540039,163.json,NotBuggy
3,6.529204547405243E-4,1,1,127.01653289794922,3027.json,NotBuggy
3,6.384774460457265E-4,3,3,124.84986114501953,3197.json,NotBuggy
3,0.74069744348526,1,1,130.85629272460938,2481.json,NotBuggy
1,0.9728955030441284,1,0,148.41885375976562,44.json,NotBuggy
3,0.2936658263206482,1,0,132.9956512451172,767.json,Buggy
3,1.1205275222891942E-4,1,1,126.96322631835938,553.json,NotBuggy
5,0.004864850081503391,1,3,117.93329620361328,2714.json,NotBuggy
3,0.916508138179779,1,0,131.91592407226562,481.json,Buggy
12,5.049689207226038E-4,3,3,96.2594223022461,2789.json,NotBuggy
6,0.007466692477464676,4,0,109.61153411865234,1239.json,NotBuggy
4,0.3313685953617096,2,2,122.2889404296875,2321.json,Buggy
3,0.20273099839687347,1,1,129.14646911621094,3211.json,NotBuggy
3,0.8881044983863831,1,0,132.9956512451172,827.json,NotBuggy
2,0.8839116096496582,1,0,140.82913208007812,3190.json,NotBuggy
4,0.01496422290802002,1,2,122.5189437866211,2809.json,NotBuggy
3,0.8187670707702637,1,0,131.46876525878906,2869.json,NotBuggy
7,0.7485623359680176,3,1,111.42787170410156,703.json,NotBuggy
2,0.8931466937065125,1,0,138.50709533691406,2344.json,Buggy
3,0.3345513939857483,1,1,132.25152587890625,2994.json,NotBuggy
1,0.9894795417785645,1,0,150.7931671142578,18.json,NotBuggy
3,0.8298105597496033,1,1,131.43582153320312,716.json,Buggy
12,0.17638340592384338,2,7,104.71044158935547,226.json,NotBuggy
1,0.0,1,0,145.9210968017578,47.json,NotBuggy
3,0.008826172910630703,1,2,127.51214599609375,2140.json,NotBuggy
7,0.1581997573375702,1,0,112.51061248779297,2579.json,NotBuggy
5,0.09489510208368301,3,2,116.58198547363281,2803.json,NotBuggy
3,0.03927292674779892,1,0,129.81976318359375,768.json,Buggy
5,0.5562070608139038,2,2,118.36804962158203,2849.json,NotBuggy
3,0.8951210379600525,1,0,132.9956512451172,65.json,NotBuggy
9,0.5930032730102539,3,4,106.53690338134766,241.json,NotBuggy
3,0.05288292095065117,1,0,133.59722900390625,306.json,NotBuggy
8,0.8499247431755066,4,2,106.69528198242188,899.json,NotBuggy
3,0.6434621214866638,1,1,130.07347106933594,3019.json,NotBuggy
3,0.7510668039321899,1,1,130.70933532714844,2103.json,NotBuggy
3,0.5300512909889221,1,0,128.893798828125,1666.json,NotBuggy
3,0.40843087434768677,1,0,132.4454345703125,2273.json,NotBuggy
3,0.8851081132888794,1,0,133.59722900390625,2489.json,NotBuggy
3,0.705904483795166,1,1,131.75106811523438,409.json,NotBuggy
4,0.8278191685676575,2,2,121.91535949707031,634.json,NotBuggy
3,0.7485814094543457,1,0,132.9956512451172,828.json,NotBuggy
3,0.9384248852729797,1,0,132.9956512451172,3007.json,Buggy
20,0.0,5,7,85.0932388305664,327.json,NotBuggy
1,0.9010640382766724,1,0,151.39474487304688,8.json,NotBuggy
3,0.18026140332221985,1,0,133.59722900390625,1712.json,NotBuggy
3,0.42622992396354675,1,1,132.25152587890625,1644.json,NotBuggy
16,0.10264285653829575,11,3,91.24625396728516,2750.json,NotBuggy
3,0.8855403661727905,1,0,133.59722900390625,1754.json,NotBuggy
13,0.0024347470607608557,4,5,96.93601989746094,1129.json,NotBuggy
5,0.09334056079387665,1,2,118.07197570800781,495.json,NotBuggy
3,0.8325928449630737,1,0,133.59722900390625,1488.json,NotBuggy
3,0.9388042688369751,1,1,130.85629272460938,1222.json,NotBuggy
11,0.017799505963921547,2,5,100.38147735595703,463.json,NotBuggy
3,0.3133091330528259,1,0,129.1480712890625,620.json,NotBuggy
5,0.00560402637347579,1,3,117.93329620361328,2630.json,NotBuggy
3,0.26460713148117065,1,1,128.92515563964844,1336.json,NotBuggy
7,0.0,1,2,108.52082061767578,2549.json,Buggy
2,0.8931466937065125,1,0,138.50709533691406,2342.json,Buggy
5,0.17543143033981323,1,3,115.587646484375,1342.json,NotBuggy
24,0.00176937784999609,1,22,82.66241455078125,771.json,NotBuggy
5,0.6027339696884155,2,1,118.51115417480469,1554.json,NotBuggy
3,0.3486766815185547,1,2,129.14646911621094,2111.json,Buggy
19,0.08088910579681396,12,4,87.95191955566406,1231.json,NotBuggy
3,0.5985299944877625,1,1,130.99049377441406,1634.json,NotBuggy
13,0.008780411444604397,6,6,124.46345520019531,1093.json,NotBuggy
5,0.004305122885853052,1,3,117.93329620361328,2671.json,NotBuggy
6,0.06554408371448517,2,3,113.97042083740234,2885.json,NotBuggy
9,0.24210062623023987,2,3,106.78903198242188,2056.json,NotBuggy
3,0.9276754260063171,1,1,132.61029052734375,783.json,NotBuggy
21,8.951830677688122E-4,9,15,83.27059936523438,2730.json,NotBuggy
5,0.004571692086756229,1,3,117.93329620361328,2631.json,NotBuggy
13,0.0010386088397353888,4,3,95.35454559326172,3036.json,NotBuggy
5,0.0048453486524522305,1,3,117.93329620361328,2717.json,NotBuggy
3,0.8063393235206604,1,1,131.28770446777344,1589.json,NotBuggy
3,0.6418490409851074,1,1,131.75106811523438,1603.json,NotBuggy
3,0.7203168869018555,1,2,128.92515563964844,1264.json,NotBuggy
3,0.5474992990493774,1,0,133.59722900390625,1979.json,NotBuggy
5,0.005434918217360973,1,3,117.93329620361328,2649.json,NotBuggy
3,0.6625103950500488,1,0,131.28770446777344,134.json,NotBuggy
3,0.929142951965332,1,0,132.9956512451172,2088.json,NotBuggy
8,0.07231183350086212,3,3,107.80525207519531,1797.json,NotBuggy
5,0.004950946196913719,1,3,117.93329620361328,2683.json,NotBuggy
3,0.5848249793052673,1,1,131.75106811523438,405.json,NotBuggy
6,0.0517265647649765,3,3,113.10543823242188,2192.json,NotBuggy
5,0.050169937312603,3,1,116.2978744506836,760.json,Buggy
19,0.08088910579681396,12,4,87.95191955566406,1232.json,NotBuggy
15,0.030001260340213776,4,6,93.40572357177734,3057.json,NotBuggy
3,0.0,1,1,125.75719451904297,868.json,NotBuggy
3,0.7459136247634888,1,0,133.59722900390625,300.json,NotBuggy
3,0.7962106466293335,1,0,131.9385528564453,3181.json,NotBuggy
3,0.5944721698760986,1,0,131.03103637695312,58.json,NotBuggy
9,0.00462746899574995,1,7,106.2291259765625,1658.json,NotBuggy
3,0.8942108750343323,1,0,134.26058959960938,1551.json,NotBuggy
5,0.0043192896991968155,1,3,117.93329620361328,2682.json,NotBuggy
3,0.582172155380249,1,0,132.9956512451172,1853.json,NotBuggy
3,0.9204086065292358,1,0,130.85629272460938,638.json,NotBuggy
3,0.5071667432785034,1,0,130.30841064453125,296.json,NotBuggy
8,0.6814472675323486,3,1,109.07997131347656,918.json,NotBuggy
7,0.7735774517059326,2,2,113.22032165527344,439.json,NotBuggy
3,0.7868143916130066,1,0,132.9956512451172,2486.json,NotBuggy
1,0.6768507361412048,1,0,149.736083984375,98.json,NotBuggy
3,0.8513932228088379,1,0,133.59722900390625,1535.json,NotBuggy
3,0.0018316758796572685,1,1,128.0374755859375,536.json,NotBuggy
12,0.0,7,9,94.70973205566406,1913.json,NotBuggy
9,1.8003986042458564E-4,3,3,102.45233154296875,3041.json,NotBuggy
3,0.0,1,0,124.57765197753906,625.json,NotBuggy
5,0.004957045428454876,1,3,117.93329620361328,2633.json,NotBuggy
3,0.9308919906616211,1,0,132.9956512451172,2010.json,NotBuggy
3,0.8339220285415649,1,1,131.60296630859375,1866.json,NotBuggy
4,0.014127264730632305,2,3,119.7967529296875,3146.json,Buggy
30,0.0,6,14,76.03617095947266,2925.json,Buggy
3,0.3621082007884979,1,1,130.18594360351562,268.json,NotBuggy
5,0.53572678565979,1,0,122.167236328125,1840.json,NotBuggy
3,0.23397386074066162,1,0,128.83535766601562,2138.json,NotBuggy
4,0.01643017679452896,2,2,121.38679504394531,177.json,NotBuggy
3,0.8874876499176025,1,0,130.85629272460938,1595.json,NotBuggy
1,0.6822415590286255,1,0,149.2662811279297,34.json,NotBuggy
3,0.030463138595223427,1,1,129.2378692626953,533.json,NotBuggy
3,0.8331523537635803,1,1,132.086669921875,2075.json,NotBuggy
3,0.7463951706886292,1,1,131.75106811523438,393.json,NotBuggy
7,0.10333763062953949,2,3,110.56603240966797,1099.json,NotBuggy
3,0.04489993304014206,1,1,131.1535186767578,1574.json,NotBuggy
