SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
4,0.1002865731716156,0.2682209006356297,0,0,0,1,2.45,0,2,34.0,122.4535140991211,0,1,0,0,0,104.json,NotBuggy
22,0.0,1.8689437274497926E-13,12,8,20,7,3.34,4,14,202.0,82.33800506591797,0,5,6,0,0,21852.json,Buggy
3,0.7954068779945374,0.940576388839892,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,20823.json,NotBuggy
59,0.0,4.6415412637522155E-38,17,20,37,13,2.25,2,67,523.0,59.47068405151367,1,1,7,0,0,21746.json,NotBuggy
6,0.08682331442832947,0.21054358259283973,1,1,2,2,1.37,1,4,40.0,114.48296356201172,0,1,0,0,0,23917.json,NotBuggy
4,1.587780425325036E-4,0.18822325350043806,0,0,0,1,2.45,0,2,35.0,121.97586059570312,0,3,0,0,0,40899.json,NotBuggy
4,0.2800658345222473,0.4889450923644553,0,0,0,1,1.0,0,1,27.0,123.39956665039062,0,2,0,0,0,20080.json,NotBuggy
5,0.539497435092926,0.37555391850587394,2,1,3,2,1.5,1,1,33.0,118.43690490722656,0,1,1,0,0,2260.json,NotBuggy
3,0.13233093917369843,0.7618610170834109,0,0,0,1,0.94,0,0,20.0,130.18594360351562,0,3,0,0,0,40884.json,NotBuggy
3,0.013812093995511532,0.12210639242709449,0,0,0,1,0.94,0,5,36.0,126.64292907714844,0,0,0,0,0,39296.json,NotBuggy
3,0.9267752766609192,0.6673726023280394,0,0,0,1,0.94,0,0,19.0,130.45266723632812,0,1,0,0,0,32082.json,NotBuggy
7,1.6427815717179328E-4,3.569235751744586E-4,0,0,0,1,0.9,0,4,76.0,108.3114013671875,0,2,2,0,0,7760.json,NotBuggy
3,0.7982035875320435,0.7550588384179228,0,0,0,1,0.94,0,0,17.0,131.28770446777344,0,0,0,0,0,4953.json,NotBuggy
5,0.1316342055797577,0.4706500675545257,0,0,0,1,0.94,0,0,33.0,118.99382781982422,1,2,2,0,0,13448.json,NotBuggy
3,0.15617206692695618,0.5228366217301488,0,0,0,1,0.94,0,1,25.0,128.91311645507812,0,2,0,0,0,7289.json,NotBuggy
10,0.6549960374832153,0.6434218026672988,3,2,5,4,2.54,3,1,42.0,105.42377471923828,0,1,1,0,0,50620.json,NotBuggy
8,0.05741638317704201,0.046737261499632844,2,2,4,3,1.41,1,2,54.0,107.96186065673828,0,1,0,0,0,43539.json,NotBuggy
13,0.0019722655415534973,1.1091243263268466E-6,1,1,2,2,1.49,1,7,112.0,95.3041763305664,0,2,2,0,0,31928.json,NotBuggy
3,0.7257064580917358,0.9686710505238106,0,0,0,1,0.94,0,0,11.0,134.26058959960938,0,0,0,0,0,44567.json,NotBuggy
3,0.9651172161102295,0.9349102894408071,0,0,0,1,0.94,0,0,14.0,132.4454345703125,0,1,0,0,0,48397.json,NotBuggy
6,0.0038006913382560015,0.061917931992609934,0,0,0,1,0.94,0,2,46.0,113.91609191894531,0,0,1,0,0,17071.json,NotBuggy
9,0.02626872807741165,0.007213850247139865,2,1,3,3,1.83,2,4,64.0,104.6295166015625,0,1,2,0,0,20426.json,NotBuggy
17,0.05834988132119179,4.506970741822139E-6,3,2,5,5,2.3,3,8,118.0,90.31819152832031,0,2,5,0,0,17141.json,Buggy
11,0.5196096897125244,0.2196538285924484,2,1,3,3,1.98,2,2,56.0,102.07301330566406,0,1,1,0,0,49548.json,NotBuggy
3,0.6948850154876709,0.7912482342434531,0,0,0,1,0.94,0,1,18.0,130.99049377441406,0,1,0,0,0,16005.json,NotBuggy
3,0.7285563945770264,0.8284188743778566,0,0,0,1,0.94,0,1,16.0,131.75106811523438,0,0,0,0,0,5747.json,NotBuggy
3,0.6885570287704468,0.9040943464525644,0,0,0,1,0.94,0,1,15.0,132.25152587890625,0,0,0,0,0,41415.json,NotBuggy
30,1.4816228940617293E-4,1.7721797387439388E-13,7,5,12,8,2.0,3,12,226.0,76.61705017089844,0,1,12,0,0,48188.json,NotBuggy
7,0.528936505317688,0.3934509152680325,1,1,2,2,2.8,0,1,39.0,112.11737823486328,0,1,1,0,0,50196.json,NotBuggy
8,0.26088401675224304,0.15479843791407674,0,0,0,1,1.41,1,4,51.0,108.78919219970703,0,0,1,0,0,20560.json,NotBuggy
