SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
4,0.5216336250305176,1,0,125.27178192138672,104.json,NotBuggy
14,0.004979490768164396,2,7,95.4477767944336,9640.json,NotBuggy
3,0.8152552843093872,2,1,129.95594787597656,761.json,NotBuggy
25,0.0019383907783776522,6,18,83.62381744384766,2260.json,NotBuggy
14,0.13046647608280182,3,1,97.099365234375,7760.json,NotBuggy
3,2.881596446968615E-4,1,0,126.56620788574219,9801.json,NotBuggy
6,0.926762580871582,1,0,116.7360610961914,3678.json,NotBuggy
6,0.1180015504360199,1,4,116.40045928955078,2294.json,NotBuggy
3,0.021558057516813278,1,2,128.92515563964844,1843.json,NotBuggy
8,0.47327592968940735,2,4,110.08924102783203,2249.json,NotBuggy
3,0.25027143955230713,1,0,128.70916748046875,3815.json,NotBuggy
3,0.12945465743541718,1,2,128.8092498779297,3173.json,NotBuggy
3,0.4606960713863373,1,0,133.59722900390625,474.json,NotBuggy
3,0.2863863408565521,1,1,133.18099975585938,5352.json,NotBuggy
3,0.0,1,0,125.24687957763672,5916.json,NotBuggy
3,0.9509380459785461,1,0,131.9385528564453,6394.json,NotBuggy
3,0.44331035017967224,1,0,130.85629272460938,8517.json,NotBuggy
14,0.2127476930618286,3,14,95.24018859863281,3848.json,NotBuggy
3,0.001250608591362834,1,0,125.94194793701172,6177.json,NotBuggy
3,0.4052143394947052,1,0,131.9385528564453,274.json,NotBuggy
3,0.5886542201042175,1,1,132.79563903808594,10899.json,NotBuggy
4,0.8401716947555542,1,1,127.59107971191406,3599.json,NotBuggy
7,0.004464893136173487,1,7,109.71691131591797,260.json,NotBuggy
5,0.9607833027839661,1,0,121.18380737304688,3511.json,NotBuggy
3,0.6101539731025696,1,1,130.7338104248047,2930.json,NotBuggy
3,0.1962592452764511,1,3,128.60531616210938,11064.json,NotBuggy
3,0.614754319190979,1,3,130.70933532714844,2527.json,NotBuggy
11,0.05937054008245468,4,4,102.1246337890625,9731.json,NotBuggy
3,0.3778360188007355,1,0,133.59722900390625,11138.json,NotBuggy
3,0.8526440262794495,1,0,133.59722900390625,794.json,NotBuggy
3,0.9148455262184143,1,0,133.59722900390625,26.json,NotBuggy
3,0.8845128417015076,1,0,131.91592407226562,326.json,NotBuggy
