SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
7,0.6329057812690735,2,1,111.29065704345703,9640.json,NotBuggy
3,0.239806666970253,1,1,131.75106811523438,14843.json,NotBuggy
3,0.5886239409446716,1,0,128.46022033691406,7760.json,NotBuggy
34,0.0,6,25,74.76162719726562,4953.json,Buggy
4,0.5034105777740479,1,1,125.64796447753906,13448.json,NotBuggy
3,0.09402758628129959,1,1,128.83535766601562,7289.json,NotBuggy
6,0.18953686952590942,2,0,116.21601867675781,9801.json,NotBuggy
3,0.05915914103388786,1,1,129.69032287597656,3678.json,Buggy
4,0.15985579788684845,1,2,123.65223693847656,17141.json,NotBuggy
3,0.7537332773208618,1,2,130.70933532714844,16005.json,NotBuggy
4,0.15105710923671722,1,2,123.74861145019531,17150.json,NotBuggy
3,0.9115222692489624,1,0,130.85629272460938,2294.json,NotBuggy
3,0.08144202083349228,1,1,128.8092498779297,15403.json,NotBuggy
9,0.619487464427948,3,1,106.66625213623047,2249.json,NotBuggy
7,0.881584882736206,1,0,114.98294830322266,3815.json,NotBuggy
3,0.9768880009651184,1,0,132.4454345703125,3173.json,NotBuggy
4,0.10705021768808365,2,2,120.66375732421875,12309.json,NotBuggy
3,0.7481333613395691,1,0,132.086669921875,474.json,NotBuggy
6,0.11871475726366043,2,2,116.06659698486328,5352.json,Buggy
10,0.08206481486558914,3,2,103.91152954101562,15594.json,NotBuggy
18,0.021360112354159355,6,7,89.80371856689453,5916.json,NotBuggy
5,0.034749116748571396,1,0,119.86349487304688,13704.json,NotBuggy
3,9.220194770023227E-4,1,2,127.33940887451172,12174.json,NotBuggy
3,0.37031325697898865,1,2,130.44261169433594,3848.json,NotBuggy
3,0.0014238981530070305,1,2,127.76728820800781,12067.json,NotBuggy
11,0.039544478058815,2,10,100.73722839355469,4535.json,NotBuggy
3,0.704017162322998,1,1,130.99049377441406,6177.json,NotBuggy
4,0.21995000541210175,1,1,124.1749038696289,19690.json,NotBuggy
3,0.8666165471076965,1,1,129.9696044921875,13200.json,NotBuggy
5,0.02275976538658142,2,4,117.048828125,15691.json,NotBuggy
102,0.0,28,41,47.26683807373047,12836.json,Buggy
3,0.9158761501312256,1,0,133.59722900390625,274.json,NotBuggy
3,0.883027195930481,1,0,133.59722900390625,19360.json,NotBuggy
3,0.06591463834047318,1,1,129.69032287597656,3599.json,Buggy
3,0.7845999002456665,1,1,130.45266723632812,14296.json,NotBuggy
7,0.41889944672584534,2,1,113.80858612060547,6974.json,Buggy
3,0.23400263488292694,1,1,130.18594360351562,5181.json,Buggy
7,0.05334409326314926,2,2,112.39112091064453,2930.json,NotBuggy
3,0.5124619603157043,1,0,129.57785034179688,11064.json,NotBuggy
4,0.8108232021331787,1,2,126.04888916015625,17016.json,NotBuggy
3,0.29503747820854187,1,0,133.59722900390625,7453.json,Buggy
6,0.28143927454948425,2,0,114.54450988769531,10773.json,NotBuggy
3,0.5296226739883423,1,0,131.03103637695312,2527.json,NotBuggy
3,0.5556715130805969,1,0,128.46022033691406,11138.json,NotBuggy
3,0.9572293162345886,1,1,130.07347106933594,3466.json,NotBuggy
3,0.9690622091293335,1,0,132.9956512451172,3191.json,NotBuggy
3,6.183668738231063E-4,1,1,124.79442596435547,12805.json,Buggy
4,0.5894464254379272,1,3,123.94486236572266,9979.json,NotBuggy
3,0.7944256067276001,1,0,133.59722900390625,26.json,NotBuggy
5,0.7075530290603638,2,3,119.34591674804688,326.json,NotBuggy
3,0.4303478002548218,1,0,133.59722900390625,15187.json,NotBuggy
3,0.4823581278324127,2,1,128.69515991210938,2253.json,NotBuggy
5,0.7578616738319397,2,3,117.52556610107422,5045.json,NotBuggy
7,0.0932541936635971,5,3,107.8904800415039,19558.json,NotBuggy
12,0.16311781108379364,2,7,99.72429656982422,3686.json,NotBuggy
4,0.6201829314231873,1,2,126.1969985961914,16446.json,NotBuggy
6,0.556370735168457,2,1,117.0499496459961,2546.json,Buggy
11,0.11729276925325394,3,2,102.91090393066406,6926.json,Buggy
3,0.8352776169776917,1,0,133.59722900390625,11685.json,NotBuggy
3,0.6900320649147034,1,1,132.25152587890625,8473.json,NotBuggy
33,7.430241676047444E-4,7,16,75.10639190673828,15842.json,Buggy
6,0.7305645942687988,2,0,116.66458892822266,19092.json,Buggy
14,0.0351732037961483,2,11,96.35333251953125,2121.json,NotBuggy
21,5.846034619025886E-4,4,12,87.15040588378906,5570.json,NotBuggy
3,0.48653554916381836,1,0,130.18594360351562,16469.json,NotBuggy
3,0.9626967310905457,1,0,132.9956512451172,2953.json,NotBuggy
7,0.002806606702506542,2,10,108.73680877685547,2094.json,NotBuggy
16,0.5698190331459045,5,1,94.66043090820312,2942.json,Buggy
7,0.11205653101205826,2,2,111.47318267822266,18592.json,NotBuggy
3,0.73563152551651,1,3,130.18890380859375,18219.json,NotBuggy
4,0.2218526303768158,1,0,125.64796447753906,1475.json,NotBuggy
3,0.7525538206100464,1,1,130.18594360351562,8464.json,NotBuggy
52,0.0,5,49,63.77339172363281,7870.json,Buggy
3,0.9112365245819092,1,0,130.70933532714844,18638.json,NotBuggy
4,0.6471725702285767,1,1,127.09062194824219,18293.json,NotBuggy
3,0.7380446195602417,1,1,131.1535186767578,13220.json,NotBuggy
5,0.477569043636322,2,0,119.52839660644531,12122.json,NotBuggy
3,0.7390149235725403,1,1,131.28770446777344,7284.json,NotBuggy
3,0.02972012758255005,1,1,131.60296630859375,18132.json,NotBuggy
19,0.007855704985558987,5,8,88.25617980957031,12814.json,Buggy
3,0.5237792730331421,1,2,131.91592407226562,9701.json,NotBuggy
3,0.7367580533027649,1,1,130.85629272460938,6292.json,NotBuggy
3,0.9469775557518005,1,0,132.4454345703125,12625.json,NotBuggy
3,0.9376058578491211,1,0,133.59722900390625,8305.json,Buggy
19,0.001103923306800425,6,8,88.24563598632812,8351.json,NotBuggy
4,1.0044755617855117E-4,1,2,122.60874938964844,16900.json,NotBuggy
3,0.3691382110118866,1,0,133.59722900390625,12343.json,NotBuggy
3,0.42664527893066406,1,2,131.43582153320312,14257.json,NotBuggy
8,0.3390854001045227,1,2,111.97174835205078,1581.json,NotBuggy
4,0.4607904255390167,1,0,124.81353759765625,194.json,NotBuggy
3,0.6856333017349243,1,1,131.28770446777344,14399.json,NotBuggy
3,0.8865370750427246,1,0,133.59722900390625,1268.json,NotBuggy
3,0.49969834089279175,1,0,133.59722900390625,10732.json,NotBuggy
3,0.7942413687705994,1,0,133.59722900390625,17858.json,NotBuggy
5,0.05683138966560364,1,2,119.97843933105469,1871.json,NotBuggy
3,0.05169178172945976,1,1,129.81280517578125,17365.json,Buggy
3,0.0596095509827137,1,1,129.69032287597656,17358.json,NotBuggy
3,0.7114917635917664,1,1,130.99049377441406,17694.json,NotBuggy
3,0.35267043113708496,1,1,131.28770446777344,5395.json,Buggy
3,0.10259024798870087,1,1,129.1480712890625,7625.json,NotBuggy
3,0.24697089195251465,1,1,131.43582153320312,6135.json,NotBuggy
5,0.44052401185035706,1,3,118.99382781982422,7498.json,Buggy
5,0.12390758842229843,1,1,119.2291259765625,15673.json,NotBuggy
3,0.5313382744789124,1,2,130.70933532714844,188.json,NotBuggy
14,0.3157884180545807,2,4,95.9820785522461,12308.json,NotBuggy
6,0.04746420681476593,1,0,113.08231353759766,15126.json,NotBuggy
22,0.030272701755166054,5,2,85.76899719238281,7842.json,Buggy
3,0.0,1,1,126.78941345214844,17718.json,NotBuggy
3,0.7331668138504028,1,1,130.99049377441406,5846.json,NotBuggy
4,0.047716666013002396,1,1,125.64796447753906,632.json,NotBuggy
4,0.08682920038700104,1,2,124.57742309570312,821.json,NotBuggy
10,0.08011038601398468,3,5,102.47310638427734,7758.json,NotBuggy
27,0.0079845255240798,3,12,80.70404052734375,18450.json,Buggy
3,0.6931060552597046,1,0,132.25152587890625,13694.json,NotBuggy
14,0.4489898085594177,4,3,97.01675415039062,5527.json,NotBuggy
3,0.7232465744018555,1,1,129.81976318359375,14224.json,NotBuggy
3,0.13290457427501678,1,1,131.43582153320312,14176.json,NotBuggy
3,0.7971314787864685,1,0,132.4454345703125,15624.json,Buggy
9,0.415230929851532,3,2,107.03191375732422,9171.json,Buggy
3,0.006990713998675346,1,1,127.94110107421875,366.json,NotBuggy
3,0.6572249531745911,1,2,130.85745239257812,15995.json,NotBuggy
15,0.023660482838749886,4,3,94.7542953491211,12391.json,Buggy
3,0.8306400179862976,1,1,132.25152587890625,154.json,NotBuggy
3,0.7989513278007507,1,0,133.59722900390625,5034.json,NotBuggy
3,0.4960266649723053,1,1,129.81976318359375,9775.json,NotBuggy
3,0.9083850979804993,1,0,133.59722900390625,8312.json,Buggy
4,0.024990003556013107,1,1,125.64796447753906,9891.json,NotBuggy
6,0.01723656989634037,1,5,113.28678894042969,14918.json,Buggy
3,0.8213313817977905,1,0,132.25152587890625,5517.json,Buggy
34,0.0,10,3,75.59960174560547,2739.json,NotBuggy
6,0.018277201801538467,2,3,115.26795196533203,17303.json,NotBuggy
3,0.5216877460479736,1,2,131.91592407226562,14247.json,NotBuggy
10,0.16983327269554138,2,5,105.57550048828125,4550.json,NotBuggy
7,0.007511625066399574,1,11,110.65518188476562,8864.json,NotBuggy
4,0.14642047882080078,1,2,123.74861145019531,17209.json,NotBuggy
3,0.6702868342399597,1,2,131.91592407226562,7655.json,Buggy
6,0.5121791958808899,2,1,116.66458892822266,8581.json,NotBuggy
13,0.09959974139928818,3,0,99.850341796875,12130.json,NotBuggy
12,0.49118146300315857,3,0,98.1146240234375,2301.json,NotBuggy
5,0.01748983934521675,2,2,116.86105346679688,5784.json,NotBuggy
3,0.41320058703422546,1,0,133.59722900390625,8593.json,NotBuggy
3,0.8544971942901611,1,1,130.85629272460938,7548.json,NotBuggy
4,0.11409708857536316,1,1,125.64796447753906,799.json,NotBuggy
3,0.836973249912262,1,0,133.59722900390625,152.json,NotBuggy
3,0.06721948087215424,1,4,128.8216552734375,452.json,NotBuggy
4,0.0031614811159670353,1,1,122.93385314941406,12114.json,Buggy
9,0.9333619475364685,3,2,108.24293518066406,3846.json,NotBuggy
4,0.11813611537218094,1,1,125.64796447753906,84.json,NotBuggy
3,0.8018857836723328,1,0,133.59722900390625,3976.json,NotBuggy
4,0.040966421365737915,1,2,123.66336059570312,6162.json,NotBuggy
3,0.057128701359033585,1,1,129.4591827392578,15481.json,NotBuggy
12,0.05640804022550583,4,3,99.30533599853516,11772.json,NotBuggy
3,0.7501654028892517,1,2,130.99049377441406,6120.json,NotBuggy
9,0.0010334482649341226,1,10,104.95146179199219,9134.json,NotBuggy
3,0.638264536857605,1,0,130.44261169433594,10149.json,NotBuggy
6,0.23273548483848572,2,4,113.00621032714844,17639.json,Buggy
3,0.9282146096229553,1,0,131.43582153320312,7450.json,NotBuggy
3,0.8153661489486694,1,1,130.7338104248047,3127.json,NotBuggy
3,0.8575336337089539,1,0,131.46876525878906,898.json,NotBuggy
