SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,CriticalEditDistances,file,Decision
6,0.9900058507919312,0.5413374543864383,1,1,2,2,5.5,0,1,36.0,115.18394470214844,0,1,0,0,0,104.json,NotBuggy
3,0.8099961280822754,0.8508369124214457,0,0,0,1,3.77,0,0,15.0,131.9385528564453,0,0,0,0,0,761.json,NotBuggy
3,0.5558153986930847,0.8205758437866324,0,0,0,1,3.77,0,0,17.0,131.28770446777344,0,1,0,0,0,7760.json,NotBuggy
4,0.018660789355635643,0.2578783960600155,0,0,0,1,5.2,0,4,31.0,122.76004028320312,0,1,0,0,0,4953.json,NotBuggy
3,0.7541951537132263,0.8134742353879815,0,0,0,1,3.77,0,0,15.0,132.25152587890625,0,0,0,0,0,3678.json,NotBuggy
4,0.055586472153663635,0.7710669057858226,0,0,0,1,4.0,0,1,22.0,124.91740417480469,0,1,0,0,0,2294.json,NotBuggy
3,0.8434503674507141,0.9005575863941432,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,1843.json,NotBuggy
9,0.22298522293567657,0.17705553252778133,1,1,2,2,5.96,1,2,47.0,106.87638092041016,0,1,2,0,0,2249.json,NotBuggy
3,0.808982253074646,0.8311516217615348,0,0,0,1,3.77,0,1,17.0,131.60067749023438,0,0,0,0,0,3815.json,NotBuggy
3,0.8189108371734619,0.9202177049802128,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,3173.json,NotBuggy
6,0.16232770681381226,0.15595207442681427,1,1,2,2,5.5,1,2,38.0,114.67958068847656,0,1,0,0,0,5277.json,NotBuggy
3,0.5519798994064331,0.7608657715752598,0,0,0,1,3.77,0,0,17.0,131.28770446777344,0,1,0,0,0,474.json,NotBuggy
9,0.005699416622519493,2.3085887273234817E-5,2,1,3,2,5.9,1,9,91.0,103.02924346923828,0,1,3,0,0,5352.json,NotBuggy
