SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
4,0.4647303521633148,1,1,126.0733642578125,104.json,NotBuggy
9,0.3042765259742737,2,0,106.59980010986328,23917.json,NotBuggy
4,0.23649674654006958,1,1,127.59107971191406,761.json,NotBuggy
15,0.01824840158224106,4,11,93.21733093261719,20080.json,NotBuggy
14,3.3859809627756476E-4,1,0,98.3082046508789,2260.json,NotBuggy
4,0.31773096323013306,1,0,125.67974090576172,39296.json,NotBuggy
6,0.0,1,6,110.95682525634766,14843.json,NotBuggy
5,0.0411454476416111,1,1,119.84819793701172,4953.json,NotBuggy
13,8.66543676238507E-4,1,18,95.36432647705078,31542.json,Buggy
4,0.8631520867347717,1,0,128.936767578125,7289.json,NotBuggy
11,0.7816513180732727,1,2,102.626708984375,36022.json,NotBuggy
7,0.13358965516090393,1,4,114.41510772705078,27723.json,NotBuggy
4,0.8841153979301453,1,0,128.936767578125,32217.json,NotBuggy
18,0.003960412926971912,4,16,90.49188995361328,31928.json,NotBuggy
5,0.050095248967409134,1,3,119.2291259765625,37266.json,NotBuggy
6,1.6927834076341242E-4,1,3,113.21219635009766,17071.json,NotBuggy
5,4.93814644869417E-4,1,6,116.14391326904297,20426.json,NotBuggy
4,0.47757577896118164,1,1,125.91468811035156,3678.json,NotBuggy
4,0.0684647336602211,1,1,123.39956665039062,17141.json,NotBuggy
4,0.35057422518730164,1,1,127.42622375488281,22852.json,NotBuggy
4,0.7553407549858093,1,0,127.27810668945312,16005.json,NotBuggy
7,0.43242308497428894,2,3,113.98487091064453,20560.json,NotBuggy
4,0.6062074303627014,1,0,128.936767578125,13847.json,NotBuggy
4,0.9200456738471985,1,0,128.936767578125,29871.json,NotBuggy
8,0.028641227632761,2,4,106.30162048339844,2810.json,NotBuggy
4,0.09711101651191711,1,2,125.5254898071289,2294.json,NotBuggy
4,0.2443924844264984,1,0,128.936767578125,15403.json,Buggy
24,0.004742032382637262,6,5,83.72543334960938,37198.json,NotBuggy
8,0.03510406240820885,2,2,109.1904296875,36747.json,NotBuggy
4,0.0961289033293724,1,2,124.57742309570312,21931.json,NotBuggy
4,0.9583476185798645,1,0,128.335205078125,1843.json,NotBuggy
7,0.003892017062753439,1,4,109.40082550048828,2249.json,NotBuggy
4,0.660129725933075,1,2,127.25547790527344,3815.json,NotBuggy
5,0.016610465943813324,1,5,117.69127655029297,5277.json,NotBuggy
5,0.4363989233970642,1,0,122.03304290771484,474.json,NotBuggy
27,1.3381702592596412E-4,19,5,79.5648422241211,24799.json,NotBuggy
4,0.8305222988128662,1,2,125.27178192138672,5352.json,NotBuggy
8,0.013035782612860203,2,4,107.55213928222656,30505.json,NotBuggy
5,0.103086456656456,1,0,122.03304290771484,5916.json,NotBuggy
12,0.2655923366546631,3,6,98.33199310302734,18538.json,NotBuggy
4,0.9386050701141357,1,0,128.936767578125,18965.json,NotBuggy
5,0.09022977948188782,1,0,122.03304290771484,6394.json,NotBuggy
4,0.1891394406557083,1,0,128.936767578125,922.json,NotBuggy
14,0.003811451606452465,3,16,93.58647918701172,38729.json,NotBuggy
4,0.9342242479324341,1,0,128.936767578125,23870.json,NotBuggy
4,0.7817710638046265,1,1,126.33003997802734,32781.json,NotBuggy
7,0.09838161617517471,1,4,113.9644546508789,12174.json,NotBuggy
4,0.7468987107276917,1,0,127.27810668945312,28773.json,NotBuggy
4,0.0012870603241026402,1,2,122.5189437866211,3848.json,NotBuggy
4,0.7405020594596863,1,0,128.936767578125,12067.json,NotBuggy
4,0.9376428723335266,1,0,128.936767578125,4535.json,NotBuggy
13,0.10401348769664764,2,3,97.88553619384766,6177.json,NotBuggy
4,0.022496799007058144,1,2,121.99011993408203,28920.json,NotBuggy
4,0.3756401836872101,1,1,126.19583892822266,28415.json,NotBuggy
4,0.11802951991558075,1,2,124.26470947265625,29904.json,NotBuggy
8,0.06354521214962006,1,8,108.8430404663086,19690.json,NotBuggy
5,0.3451201617717743,1,4,118.51167297363281,33049.json,NotBuggy
18,3.128157986793667E-4,3,8,89.59207153320312,13200.json,NotBuggy
4,0.008473509922623634,1,0,128.936767578125,24383.json,NotBuggy
4,0.8744810223579407,1,0,128.936767578125,26190.json,NotBuggy
4,0.6870615482330322,1,1,127.09062194824219,37375.json,NotBuggy
16,0.2548457980155945,6,1,94.7837142944336,26916.json,NotBuggy
4,0.12765942513942719,1,1,127.59107971191406,9750.json,NotBuggy
10,0.004478068090975285,2,7,101.85926055908203,19360.json,NotBuggy
4,0.735842764377594,1,0,127.27810668945312,10899.json,NotBuggy
4,0.33564093708992004,1,0,128.936767578125,21413.json,NotBuggy
4,0.7153075337409973,1,1,127.59107971191406,3599.json,NotBuggy
16,3.4494290594011545E-4,2,16,88.89942932128906,30597.json,NotBuggy
4,0.4139386713504791,1,0,127.27810668945312,260.json,NotBuggy
13,0.17728029191493988,3,4,98.62208557128906,6974.json,NotBuggy
4,0.14775845408439636,1,2,123.8484878540039,15933.json,NotBuggy
4,0.024746190756559372,1,1,123.02798461914062,5181.json,NotBuggy
4,0.6596635580062866,1,1,125.67974090576172,27694.json,NotBuggy
4,0.01725642941892147,1,0,128.936767578125,21469.json,NotBuggy
4,0.011173426173627377,1,1,123.74861145019531,3511.json,NotBuggy
4,0.9158358573913574,1,0,128.936767578125,15918.json,NotBuggy
4,0.7234069108963013,1,1,125.91468811035156,3985.json,NotBuggy
4,0.884311318397522,1,0,125.64796447753906,27057.json,NotBuggy
10,0.7898268103599548,2,2,104.67636108398438,2930.json,NotBuggy
4,0.3522397577762604,1,0,125.41301727294922,22191.json,NotBuggy
4,0.0782589465379715,1,1,123.96263122558594,18919.json,NotBuggy
4,0.002012176439166069,1,1,122.5189437866211,28724.json,NotBuggy
7,0.02549731358885765,1,3,111.23236846923828,17016.json,NotBuggy
4,0.33485087752342224,1,0,125.67974090576172,25468.json,NotBuggy
6,0.044278305023908615,1,1,114.38914489746094,34424.json,NotBuggy
4,0.7826860547065735,1,0,128.936767578125,37148.json,NotBuggy
4,0.9757338166236877,1,2,124.05243682861328,38660.json,NotBuggy
4,0.022727129980921745,1,0,123.94486236572266,36704.json,NotBuggy
4,0.5558568835258484,1,2,123.19084167480469,33057.json,NotBuggy
4,0.7036178708076477,1,0,125.41301727294922,22211.json,NotBuggy
4,0.6170532703399658,1,1,127.42622375488281,31973.json,NotBuggy
4,0.6620661020278931,1,1,126.33003997802734,7453.json,NotBuggy
4,0.12823668122291565,1,1,123.28931427001953,27192.json,NotBuggy
8,0.04160037264227867,1,5,110.8812026977539,9731.json,NotBuggy
4,0.5365636944770813,1,0,128.936767578125,11138.json,NotBuggy
4,0.9418237805366516,1,0,126.4930648803711,3466.json,NotBuggy
4,0.131873220205307,1,0,128.936767578125,25101.json,NotBuggy
4,0.7857467532157898,1,0,128.936767578125,17848.json,NotBuggy
5,0.22085852921009064,1,1,120.43750762939453,21319.json,NotBuggy
4,0.7505443096160889,1,1,126.33003997802734,25915.json,NotBuggy
9,0.004414268769323826,2,4,103.3017807006836,25798.json,NotBuggy
4,8.500122930854559E-4,1,3,121.08299255371094,20412.json,NotBuggy
4,0.8925211429595947,1,0,127.27810668945312,27760.json,NotBuggy
10,0.27148914337158203,2,2,107.53484344482422,3191.json,NotBuggy
4,0.12773165106773376,1,1,124.04872131347656,11590.json,NotBuggy
4,0.38110509514808655,1,2,122.85169219970703,27418.json,NotBuggy
9,3.640623763203621E-4,1,12,103.8000259399414,24542.json,NotBuggy
4,0.27105578780174255,1,0,128.936767578125,26342.json,NotBuggy
4,0.1099030151963234,1,1,127.42622375488281,26803.json,NotBuggy
4,0.39919018745422363,1,2,125.91468811035156,12805.json,NotBuggy
4,0.8323196172714233,1,0,128.936767578125,9979.json,NotBuggy
10,4.2808183934539557E-4,2,15,99.18648529052734,22590.json,NotBuggy
10,0.0031077791936695576,1,7,105.80558776855469,15807.json,NotBuggy
13,0.613537073135376,3,2,99.51471710205078,30097.json,NotBuggy
9,0.0928865596652031,2,6,107.81382751464844,38117.json,NotBuggy
4,0.16959033906459808,1,0,123.59581756591797,20134.json,NotBuggy
9,0.16786052286624908,3,2,106.26349639892578,326.json,NotBuggy
17,0.016890279948711395,4,6,91.89907836914062,39260.json,NotBuggy
4,0.08494354784488678,1,2,122.85169219970703,21242.json,NotBuggy
4,0.20009462535381317,1,0,128.335205078125,2812.json,NotBuggy
4,0.3132585883140564,1,1,126.19583892822266,27151.json,NotBuggy
4,0.12172870337963104,1,0,125.15930938720703,15187.json,NotBuggy
18,0.006961849518120289,4,3,91.31410217285156,5045.json,NotBuggy
8,0.1689697504043579,2,2,109.30946350097656,19558.json,NotBuggy
7,0.019218994304537773,1,5,110.33877563476562,3686.json,NotBuggy
4,0.055760081857442856,1,1,123.67467498779297,1454.json,NotBuggy
4,0.3782714307308197,1,3,124.361083984375,24719.json,NotBuggy
7,0.5278528928756714,1,1,114.04106140136719,10336.json,NotBuggy
5,6.051038508303463E-4,1,3,117.09105682373047,4917.json,NotBuggy
4,0.7317970395088196,1,0,128.936767578125,24571.json,NotBuggy
8,0.3858136236667633,1,4,111.37976837158203,2013.json,NotBuggy
9,1.0872503480641171E-4,2,11,102.81092834472656,18744.json,NotBuggy
5,0.06784002482891083,1,4,118.5980453491211,33181.json,NotBuggy
11,0.0035379875916987658,1,9,101.32492065429688,4795.json,NotBuggy
15,0.028615133836865425,3,3,95.21663665771484,1731.json,NotBuggy
4,0.35887858271598816,1,0,128.936767578125,26227.json,NotBuggy
4,0.41050153970718384,1,0,124.04872131347656,36995.json,NotBuggy
4,0.5354062914848328,1,0,123.87862396240234,37463.json,NotBuggy
18,0.0532386414706707,7,7,90.86799621582031,32441.json,NotBuggy
4,0.9195498824119568,1,0,128.335205078125,37304.json,NotBuggy
15,0.023668520152568817,3,7,95.02490997314453,25411.json,NotBuggy
4,0.4070222079753876,1,0,128.936767578125,15772.json,NotBuggy
4,0.5730636715888977,1,0,128.936767578125,6926.json,NotBuggy
4,0.8633096814155579,1,0,128.936767578125,20283.json,NotBuggy
20,0.04001817852258682,3,10,87.45729064941406,11728.json,Buggy
4,3.239041834603995E-4,1,0,128.936767578125,11685.json,NotBuggy
9,0.4323251247406006,2,3,107.7779541015625,22714.json,NotBuggy
4,0.11007577925920486,1,2,125.78216552734375,35355.json,NotBuggy
4,0.938602089881897,1,0,128.936767578125,2773.json,NotBuggy
5,0.9513140916824341,1,0,124.17005920410156,30669.json,NotBuggy
4,0.7159885168075562,1,0,127.27810668945312,33344.json,NotBuggy
4,0.6910368800163269,1,0,127.27810668945312,8473.json,NotBuggy
4,0.13184534013271332,1,3,122.28182983398438,22625.json,NotBuggy
7,0.5002962946891785,2,2,112.83082580566406,27621.json,NotBuggy
4,0.65444016456604,1,2,125.5254898071289,20567.json,NotBuggy
7,0.2272634655237198,2,4,113.5693588256836,26376.json,NotBuggy
15,0.20678330957889557,3,10,93.45207977294922,12972.json,NotBuggy
5,0.25187259912490845,1,0,122.03304290771484,22768.json,NotBuggy
6,0.006645852234214544,1,5,113.91609191894531,2942.json,NotBuggy
4,0.7646539211273193,1,1,127.94984436035156,10234.json,NotBuggy
4,0.8041767477989197,1,0,128.936767578125,18219.json,NotBuggy
13,0.1171550527215004,2,4,100.42606353759766,9290.json,NotBuggy
4,0.6099842190742493,1,0,126.62725830078125,35116.json,NotBuggy
5,0.017993198707699776,1,1,118.98002624511719,1475.json,NotBuggy
4,0.002476100344210863,1,0,128.936767578125,21471.json,NotBuggy
4,0.5871096849441528,1,0,128.936767578125,25701.json,NotBuggy
4,0.5069595575332642,1,1,125.67974090576172,8464.json,NotBuggy
7,0.17421388626098633,2,2,112.60784912109375,21231.json,NotBuggy
4,0.5576070547103882,1,2,125.39425659179688,30461.json,NotBuggy
6,0.21543845534324646,2,3,114.22362518310547,18293.json,NotBuggy
9,0.11794596910476685,2,4,106.12716674804688,23822.json,Buggy
4,0.0016212699702009559,1,1,121.82937622070312,21026.json,NotBuggy
15,0.00924698356539011,4,11,93.19384765625,28259.json,NotBuggy
13,0.18377585709095,2,5,98.3938217163086,13220.json,NotBuggy
4,0.72810959815979,1,0,127.25547790527344,88.json,NotBuggy
13,0.3798534870147705,3,1,99.51471710205078,28406.json,NotBuggy
5,0.30095410346984863,1,0,122.03304290771484,26547.json,NotBuggy
4,0.0,1,1,117.05265808105469,37491.json,NotBuggy
5,0.19540415704250336,1,4,119.0662612915039,12122.json,NotBuggy
4,0.1771198958158493,1,3,123.28931427001953,20289.json,NotBuggy
14,0.057993583381175995,3,3,95.92156982421875,24223.json,NotBuggy
4,0.0011563458247110248,1,3,121.08299255371094,22044.json,NotBuggy
4,0.6474549770355225,1,0,126.62725830078125,18132.json,NotBuggy
4,0.5512343645095825,1,0,128.936767578125,11890.json,NotBuggy
4,0.15183426439762115,1,0,123.20073699951172,23669.json,NotBuggy
10,0.051652971655130386,2,3,104.18074798583984,12814.json,NotBuggy
4,0.87408846616745,1,0,128.936767578125,14130.json,NotBuggy
4,0.06832660734653473,1,2,123.39956665039062,3156.json,NotBuggy
15,0.0029258972499519587,3,7,94.62553405761719,9701.json,NotBuggy
5,0.3615070879459381,1,0,122.03304290771484,26539.json,NotBuggy
9,0.14592458307743073,2,10,104.48371124267578,12625.json,NotBuggy
11,0.0010370223317295313,2,12,99.50384521484375,20488.json,NotBuggy
4,0.7827534675598145,1,0,127.27810668945312,20282.json,NotBuggy
8,0.009286761283874512,2,6,107.10742950439453,20671.json,NotBuggy
4,0.18499545753002167,1,0,128.936767578125,33041.json,NotBuggy
4,0.9061219096183777,1,0,128.335205078125,8351.json,NotBuggy
11,0.007411995902657509,2,8,100.69126892089844,37544.json,NotBuggy
4,0.5141289830207825,1,0,128.936767578125,22832.json,NotBuggy
7,0.0,2,7,107.62225341796875,12806.json,NotBuggy
39,1.5714511391706765E-4,7,33,71.40472412109375,1747.json,NotBuggy
4,0.6582175493240356,1,1,125.41301727294922,16900.json,NotBuggy
4,0.8120608925819397,1,1,126.94251251220703,14257.json,NotBuggy
4,0.45022937655448914,1,0,125.27178192138672,24829.json,NotBuggy
4,0.9386050701141357,1,0,128.936767578125,1581.json,NotBuggy
4,0.5480494499206543,1,0,126.62725830078125,32022.json,NotBuggy
