SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
24,0.012284982949495316,6,7,84.81977844238281,104.json,NotBuggy
8,0.5571192502975464,2,4,108.03524780273438,21852.json,NotBuggy
12,0.01543880719691515,3,7,98.62091064453125,20823.json,Buggy
8,0.11184187233448029,2,1,110.90472412109375,761.json,NotBuggy
3,0.27551376819610596,1,1,131.43582153320312,4953.json,NotBuggy
5,0.003817933378741145,1,3,115.931396484375,9801.json,NotBuggy
3,0.5058778524398804,1,1,131.28770446777344,27723.json,NotBuggy
3,0.8954598903656006,1,0,132.9956512451172,6599.json,NotBuggy
3,0.033644530922174454,1,1,127.94110107421875,17071.json,NotBuggy
3,0.739502489566803,1,0,132.4454345703125,20426.json,NotBuggy
3,0.769356369972229,2,0,127.99288177490234,3678.json,NotBuggy
4,0.5100884437561035,1,3,123.28931427001953,5747.json,NotBuggy
9,0.016915276646614075,3,6,106.29533386230469,13847.json,NotBuggy
18,0.003111292142421007,6,1,90.07465362548828,2810.json,NotBuggy
4,0.06493056565523148,1,2,123.96495056152344,29353.json,NotBuggy
3,0.2960059642791748,1,0,133.59722900390625,3173.json,NotBuggy
3,0.8237770795822144,1,0,133.59722900390625,5277.json,NotBuggy
3,0.5270072221755981,1,0,132.4454345703125,12309.json,NotBuggy
3,0.3360046446323395,1,0,131.1535186767578,4587.json,NotBuggy
3,0.46962055563926697,1,0,132.4454345703125,24799.json,NotBuggy
3,0.7611506581306458,1,2,129.2428436279297,5352.json,NotBuggy
3,0.19262158870697021,1,1,129.93223571777344,5916.json,NotBuggy
6,0.8422124981880188,2,1,116.7609634399414,8517.json,NotBuggy
4,0.16215544939041138,1,2,123.37332153320312,13704.json,NotBuggy
3,0.7926400303840637,1,1,132.086669921875,12174.json,NotBuggy
5,0.5573897957801819,1,2,119.94457244873047,4535.json,NotBuggy
5,9.783630957826972E-4,1,4,118.83859252929688,28920.json,NotBuggy
3,0.6714749932289124,1,0,130.45266723632812,29904.json,NotBuggy
3,0.29381731152534485,1,1,130.57513427734375,15691.json,NotBuggy
6,0.05625573918223381,2,4,114.7677230834961,9750.json,NotBuggy
6,0.5088053941726685,1,4,113.19029998779297,10899.json,NotBuggy
3,0.9457784295082092,1,1,132.9956512451172,21413.json,NotBuggy
3,0.7426043152809143,1,0,131.9385528564453,21510.json,NotBuggy
3,0.16629286110401154,2,1,128.37530517578125,30597.json,NotBuggy
5,0.02069995179772377,1,3,115.87931060791016,7920.json,NotBuggy
3,0.14316904544830322,1,0,129.37762451171875,5181.json,NotBuggy
3,0.7896509170532227,1,0,132.4454345703125,11064.json,NotBuggy
3,0.3956822156906128,1,1,130.57513427734375,17016.json,NotBuggy
2,0.31710344552993774,1,0,142.4026641845703,7453.json,NotBuggy
4,0.6597992777824402,1,2,126.77537536621094,10773.json,NotBuggy
19,0.014036985114216805,5,10,87.45459747314453,2527.json,NotBuggy
10,0.34106382727622986,2,5,101.88846588134766,21521.json,NotBuggy
15,0.0039004345890134573,4,3,94.29386138916016,11138.json,NotBuggy
5,0.12187839299440384,1,0,118.88809204101562,3466.json,NotBuggy
3,0.44547516107559204,1,2,130.45266723632812,25798.json,NotBuggy
3,0.1976083666086197,1,0,132.4454345703125,794.json,NotBuggy
3,0.7540653944015503,1,0,131.9385528564453,29430.json,NotBuggy
3,0.001325397053733468,1,1,127.76480865478516,27760.json,NotBuggy
7,0.7454791069030762,1,4,111.35248565673828,3191.json,NotBuggy
4,0.7002110481262207,1,0,125.64796447753906,26803.json,NotBuggy
3,0.34882068634033203,1,1,131.43582153320312,27668.json,NotBuggy
3,0.7896509170532227,1,0,132.4454345703125,26.json,NotBuggy
3,0.17199869453907013,1,1,129.7158966064453,22590.json,NotBuggy
3,0.8402604460716248,1,0,132.4454345703125,30097.json,NotBuggy
7,0.626825213432312,2,3,111.84925079345703,326.json,NotBuggy
22,0.0511186346411705,5,7,86.99205017089844,2812.json,NotBuggy
5,0.1113767921924591,1,5,116.402099609375,29541.json,Buggy
3,0.4067688584327698,1,0,131.03103637695312,27151.json,NotBuggy
9,0.1860155612230301,3,3,106.1617660522461,5045.json,NotBuggy
3,0.9404966235160828,1,2,130.44261169433594,19558.json,NotBuggy
4,0.16702084243297577,1,1,123.8484878540039,1454.json,NotBuggy
3,0.7074628472328186,1,0,131.28770446777344,10336.json,NotBuggy
21,1.933206367539242E-4,4,12,85.20784759521484,26594.json,NotBuggy
3,0.7203959822654724,1,2,130.57513427734375,4917.json,NotBuggy
5,0.683180034160614,1,2,117.72811889648438,23472.json,NotBuggy
3,0.2052924484014511,1,0,129.47398376464844,4795.json,NotBuggy
12,0.018445869907736778,3,1,99.69802856445312,1731.json,NotBuggy
10,0.003231808776035905,1,6,103.2543716430664,2546.json,NotBuggy
3,0.5408390164375305,1,0,129.47398376464844,6926.json,NotBuggy
3,0.7698116302490234,1,0,133.59722900390625,29782.json,NotBuggy
3,0.44256728887557983,1,0,131.28770446777344,20283.json,NotBuggy
3,0.04137522354722023,1,0,132.4454345703125,30669.json,NotBuggy
3,0.17738479375839233,2,1,127.98994445800781,8473.json,NotBuggy
4,0.9545592069625854,2,1,122.04969787597656,27621.json,NotBuggy
3,0.7116775512695312,1,0,132.4454345703125,20567.json,NotBuggy
3,0.3855343759059906,1,0,131.28770446777344,2121.json,NotBuggy
3,0.936599850654602,1,0,130.45266723632812,5570.json,NotBuggy
3,0.6037468910217285,1,0,133.59722900390625,2953.json,NotBuggy
7,0.012521793134510517,1,6,109.3487319946289,2094.json,NotBuggy
3,0.8206103444099426,1,0,131.9385528564453,18592.json,NotBuggy
7,0.037715375423431396,2,1,111.47318267822266,25701.json,NotBuggy
3,0.4919183552265167,1,0,131.9385528564453,8464.json,NotBuggy
3,0.2311771810054779,1,0,133.59722900390625,18293.json,NotBuggy
5,0.12895230948925018,1,3,118.32537841796875,4376.json,NotBuggy
3,0.07290264964103699,1,0,131.28770446777344,20871.json,NotBuggy
13,0.17293371260166168,4,1,97.33007049560547,12122.json,NotBuggy
3,0.9210397005081177,1,0,130.18594360351562,29990.json,NotBuggy
3,0.8208190202713013,1,1,130.70933532714844,2742.json,NotBuggy
9,0.0537337027490139,3,4,106.0216293334961,29124.json,NotBuggy
3,0.0023153929505497217,1,0,133.59722900390625,24223.json,NotBuggy
3,0.5280914306640625,1,1,130.99049377441406,14124.json,NotBuggy
3,0.8238558769226074,1,0,132.4454345703125,18132.json,NotBuggy
3,0.41592663526535034,1,1,130.70933532714844,14130.json,NotBuggy
3,0.7698540091514587,1,0,132.4454345703125,3156.json,NotBuggy
3,0.031803522258996964,1,2,129.36033630371094,9701.json,NotBuggy
5,0.45169517397880554,1,0,120.96249389648438,29429.json,NotBuggy
3,0.8119758367538452,1,0,132.4454345703125,20488.json,NotBuggy
3,0.010607417672872543,1,0,129.34671020507812,20282.json,NotBuggy
3,0.8406664729118347,1,0,132.4454345703125,20361.json,NotBuggy
5,0.053195878863334656,1,0,120.237548828125,23482.json,NotBuggy
5,0.1803613007068634,3,2,114.55677032470703,15054.json,NotBuggy
6,0.35288503766059875,1,4,113.45140075683594,12011.json,NotBuggy
3,0.8284619450569153,1,0,131.43582153320312,858.json,NotBuggy
3,0.2850855886936188,1,0,131.28770446777344,8351.json,NotBuggy
4,0.18158471584320068,1,1,123.8484878540039,1747.json,NotBuggy
3,0.04896752908825874,1,1,129.37762451171875,16900.json,NotBuggy
3,0.9470535516738892,1,0,133.59722900390625,12343.json,NotBuggy
