SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
3,0.9235057830810547,1,0,133.59722900390625,2810.json,NotBuggy
17,0.01930048316717148,3,5,90.10555267333984,5277.json,Buggy
5,0.7601523995399475,2,1,120.6200180053711,922.json,NotBuggy
19,0.006082402542233467,4,7,87.6475830078125,274.json,NotBuggy
4,0.5584523677825928,1,4,120.95767974853516,3599.json,NotBuggy
7,0.309130996465683,4,3,108.87591552734375,2930.json,NotBuggy
3,0.8175028562545776,1,1,130.05470275878906,3191.json,NotBuggy
3,0.9235057830810547,1,0,133.59722900390625,2812.json,NotBuggy
13,0.04278020188212395,3,4,97.53760528564453,5045.json,Buggy
33,0.06202000379562378,2,1,79.03742218017578,4917.json,NotBuggy
3,0.5020562410354614,1,0,133.59722900390625,4795.json,NotBuggy
3,0.7612021565437317,1,0,133.59722900390625,2773.json,NotBuggy
3,0.27758485078811646,1,1,129.47398376464844,2953.json,Buggy
4,0.14743997156620026,1,2,123.19084167480469,4376.json,NotBuggy
3,0.5934724807739258,2,1,130.9235076904297,2742.json,NotBuggy
13,0.033909671008586884,4,4,95.1817855834961,194.json,Buggy
7,0.06998755037784576,1,3,110.69306182861328,188.json,NotBuggy
3,0.6372058391571045,1,0,131.46876525878906,5029.json,Buggy
13,0.09903869032859802,4,4,96.35874938964844,5527.json,Buggy
2,0.9978325366973877,1,0,142.4026641845703,1404.json,NotBuggy
13,0.009579287841916084,2,5,97.2193374633789,3045.json,NotBuggy
3,0.5192803740501404,1,2,130.99049377441406,1423.json,NotBuggy
5,0.005267550703138113,2,4,116.22709655761719,3127.json,NotBuggy
5,0.012551709078252316,1,3,118.54136657714844,898.json,NotBuggy
3,0.9277615547180176,1,0,133.59722900390625,574.json,NotBuggy
3,0.9112564921379089,1,0,130.05470275878906,4898.json,NotBuggy
15,0.004543530289083719,4,9,90.54759216308594,5053.json,Buggy
20,0.0,4,22,84.7486801147461,5249.json,Buggy
3,0.07198993116617203,1,1,129.0215301513672,2987.json,NotBuggy
3,0.9279651045799255,1,0,133.59722900390625,1402.json,NotBuggy
3,0.35681262612342834,1,0,132.9956512451172,1601.json,NotBuggy
6,0.28292781114578247,2,3,115.97023010253906,681.json,Buggy
3,0.07032320648431778,1,4,128.51292419433594,4350.json,Buggy
65,0.0,12,41,59.065086364746094,3121.json,Buggy
4,0.2123926281929016,1,0,123.21045684814453,572.json,Buggy
3,0.695430338382721,1,1,132.25152587890625,5187.json,NotBuggy
3,0.3106670379638672,1,2,130.70933532714844,4979.json,NotBuggy
4,0.6760580539703369,1,1,125.5254898071289,3255.json,NotBuggy
3,0.7340269088745117,1,1,130.85629272460938,3235.json,NotBuggy
3,0.785973310470581,1,0,132.4454345703125,5213.json,NotBuggy
8,0.03010515309870243,2,5,108.14181518554688,651.json,Buggy
4,0.011976090259850025,2,2,120.78662109375,3149.json,NotBuggy
3,0.7758607864379883,1,1,132.25152587890625,3225.json,NotBuggy
3,0.8469435572624207,1,0,130.18594360351562,680.json,Buggy
4,0.29131263494491577,1,1,124.48601531982422,5094.json,Buggy
3,0.7932906150817871,1,0,131.03103637695312,4393.json,NotBuggy
3,0.8170433044433594,1,1,132.25152587890625,3453.json,NotBuggy
10,0.002089907880872488,1,2,102.88714599609375,1051.json,NotBuggy
3,0.05882079154253006,1,1,128.83535766601562,3055.json,NotBuggy
4,0.9087103605270386,1,1,126.19583892822266,3901.json,NotBuggy
8,0.0,1,14,106.0019760131836,3957.json,NotBuggy
3,0.695430338382721,1,1,132.25152587890625,95.json,Buggy
8,0.8312175869941711,5,0,108.08934783935547,2224.json,NotBuggy
3,0.8025190830230713,1,2,129.93223571777344,1893.json,NotBuggy
4,0.003565182676538825,1,2,121.83938598632812,5120.json,Buggy
3,0.8234679102897644,1,0,130.57513427734375,3197.json,NotBuggy
6,0.0,1,4,111.10789489746094,4344.json,NotBuggy
6,0.21824480593204498,1,1,117.283935546875,2481.json,NotBuggy
6,0.23751263320446014,3,4,112.41580963134766,2714.json,NotBuggy
8,0.19439105689525604,2,2,108.83641052246094,3929.json,NotBuggy
20,1.489044225309044E-4,6,14,84.26099395751953,5052.json,NotBuggy
3,0.4902867376804352,1,1,131.28770446777344,2789.json,NotBuggy
3,0.5692585706710815,1,1,129.61952209472656,1046.json,NotBuggy
3,0.8173424601554871,1,1,130.57513427734375,2551.json,NotBuggy
10,0.12231481820344925,4,0,102.90653991699219,4875.json,NotBuggy
3,0.9396195411682129,1,0,133.59722900390625,4891.json,NotBuggy
3,0.9217595458030701,1,0,130.7338104248047,4403.json,NotBuggy
3,0.9289069771766663,1,0,133.59722900390625,2809.json,NotBuggy
1,0.9919390678405762,1,0,150.7931671142578,1066.json,NotBuggy
3,1.1731429549399763E-4,1,1,126.78704833984375,485.json,Buggy
3,0.9482436776161194,1,0,131.9385528564453,703.json,NotBuggy
4,0.08454660326242447,2,1,123.23312377929688,3257.json,NotBuggy
3,0.9484614729881287,1,0,133.59722900390625,4827.json,NotBuggy
4,0.4716717004776001,1,1,124.81353759765625,2523.json,NotBuggy
4,0.9426126480102539,1,0,125.79222106933594,4858.json,NotBuggy
3,0.9550763964653015,1,0,132.9956512451172,4382.json,NotBuggy
3,0.5692585706710815,1,1,129.61952209472656,1049.json,NotBuggy
4,0.8237388134002686,2,0,122.62169647216797,2803.json,NotBuggy
6,0.14715352654457092,2,2,113.05679321289062,972.json,NotBuggy
3,0.6937661170959473,1,0,131.28770446777344,4823.json,NotBuggy
87,0.0,4,2,57.34782028198242,4927.json,NotBuggy
3,0.008748226799070835,1,0,132.9956512451172,2503.json,NotBuggy
4,0.003461835440248251,1,2,122.3560791015625,1934.json,NotBuggy
4,0.3911474943161011,2,1,123.14331817626953,3051.json,NotBuggy
2,0.8669668436050415,1,0,138.17149353027344,5218.json,NotBuggy
3,0.7501177787780762,1,0,132.4454345703125,5214.json,NotBuggy
17,0.14814084768295288,4,8,91.63157653808594,4756.json,NotBuggy
1,0.9919390678405762,1,0,150.7931671142578,1054.json,NotBuggy
3,0.8191396594047546,1,0,133.59722900390625,4347.json,NotBuggy
17,0.006408120971173048,6,2,89.7295150756836,4871.json,NotBuggy
4,0.29724788665771484,1,2,123.96263122558594,3261.json,NotBuggy
3,0.9312708973884583,1,0,133.59722900390625,634.json,NotBuggy
11,0.00554255535826087,5,6,97.25212860107422,1712.json,NotBuggy
5,0.40349099040031433,3,0,116.33476257324219,2750.json,NotBuggy
3,0.06343353539705276,1,2,128.22288513183594,1754.json,NotBuggy
3,0.7760503888130188,1,0,131.9385528564453,463.json,NotBuggy
3,0.9550763964653015,1,0,132.9956512451172,4386.json,NotBuggy
3,0.5131309032440186,1,1,129.9696044921875,1336.json,Buggy
3,0.5902283787727356,1,1,130.57513427734375,5001.json,NotBuggy
3,0.9525805115699768,1,0,132.4454345703125,4913.json,NotBuggy
15,0.0046992553398013115,3,6,93.55403900146484,5044.json,Buggy
5,0.2401583194732666,3,2,115.84677124023438,2855.json,NotBuggy
31,0.0011495843064039946,6,12,77.09532165527344,4937.json,NotBuggy
6,0.011569465510547161,1,3,112.89320373535156,1298.json,NotBuggy
6,0.855919599533081,2,1,116.13532257080078,3125.json,Buggy
5,0.504168689250946,2,1,118.28166961669922,4742.json,NotBuggy
3,0.5131309032440186,1,1,129.9696044921875,1342.json,Buggy
3,0.67863529920578,1,0,131.9385528564453,2917.json,NotBuggy
3,0.023592336103320122,1,3,127.43789672851562,5101.json,NotBuggy
3,0.5901426076889038,1,0,127.79666137695312,4888.json,NotBuggy
3,0.7841925024986267,1,1,132.25152587890625,2912.json,NotBuggy
21,0.0024710302241146564,7,8,85.23674011230469,1634.json,Buggy
3,0.032367683947086334,1,2,127.42049407958984,2671.json,NotBuggy
7,0.027004381641745567,3,2,109.7467269897461,2563.json,NotBuggy
4,0.367824912071228,4,0,117.45596313476562,4878.json,NotBuggy
4,0.507699728012085,3,1,121.59648895263672,4922.json,NotBuggy
