SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
6,0.3592786490917206,2,4,113.6710433959961,104.json,NotBuggy
14,0.0819622278213501,4,10,94.7918930053711,9640.json,NotBuggy
3,0.604048490524292,1,1,132.25152587890625,2260.json,NotBuggy
19,0.24069420993328094,2,4,89.03931427001953,7760.json,NotBuggy
7,3.3258312032558024E-4,1,3,109.8606185913086,4953.json,NotBuggy
3,0.1017937958240509,1,0,132.4454345703125,7289.json,NotBuggy
17,0.003077801549807191,3,6,89.37632751464844,10470.json,Buggy
3,0.5007117390632629,1,1,132.25152587890625,3678.json,NotBuggy
11,3.456108970567584E-4,2,5,99.72154235839844,5747.json,NotBuggy
4,0.004602921660989523,1,3,120.8366928100586,2810.json,NotBuggy
7,8.931334014050663E-4,1,3,109.94535064697266,1843.json,NotBuggy
5,0.5702941417694092,1,0,120.74615478515625,2249.json,NotBuggy
3,2.402225654805079E-4,1,1,127.05960083007812,3173.json,NotBuggy
9,0.06894376128911972,2,0,105.99913024902344,5277.json,NotBuggy
8,0.4517097473144531,2,0,109.36935424804688,4587.json,NotBuggy
3,0.5007117390632629,1,1,132.25152587890625,5352.json,NotBuggy
3,1.5443448501173407E-4,1,1,127.05960083007812,6394.json,NotBuggy
6,0.31263619661331177,2,3,115.63639831542969,8517.json,NotBuggy
8,0.4517097473144531,2,0,109.36935424804688,3848.json,NotBuggy
3,0.25150662660598755,1,1,129.69032287597656,4535.json,NotBuggy
3,0.06308193504810333,1,0,129.57785034179688,6177.json,NotBuggy
3,0.21007035672664642,1,1,132.25152587890625,9750.json,NotBuggy
7,3.3258312032558024E-4,1,3,109.8606185913086,3599.json,NotBuggy
12,0.33010217547416687,3,3,100.09159088134766,7920.json,Buggy
1,0.9191213250160217,1,0,153.63165283203125,6974.json,NotBuggy
3,0.2736815810203552,1,1,132.25152587890625,5181.json,NotBuggy
1,0.993058979511261,1,1,150.978515625,3511.json,NotBuggy
6,0.3264075517654419,2,3,114.61321258544922,3985.json,NotBuggy
14,0.0,5,9,93.22036743164062,2930.json,NotBuggy
