SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
3,0.3894944190979004,1,0,130.7338104248047,104.json,NotBuggy
3,0.4119546413421631,1,2,129.0215301513672,761.json,NotBuggy
3,0.43689435720443726,1,0,131.28770446777344,474.json,NotBuggy
8,0.08221343904733658,3,2,107.11321258544922,922.json,NotBuggy
3,0.19460603594779968,1,1,129.81976318359375,274.json,NotBuggy
6,0.1073237955570221,1,3,114.64286041259766,260.json,NotBuggy
11,0.035171084105968475,3,5,100.90387725830078,858.json,NotBuggy
3,0.5280013680458069,1,1,132.25152587890625,839.json,NotBuggy
15,0.18807655572891235,7,3,94.62535095214844,469.json,NotBuggy
7,0.07545711100101471,2,3,110.50746154785156,632.json,NotBuggy
12,0.11671794950962067,3,7,97.63029479980469,154.json,NotBuggy
3,0.395804226398468,1,1,130.45266723632812,129.json,NotBuggy
7,0.006972514558583498,2,3,110.1007080078125,152.json,NotBuggy
3,0.7466572523117065,1,1,130.85629272460938,855.json,NotBuggy
10,0.1895381361246109,2,11,102.28536224365234,544.json,NotBuggy
3,0.7198291420936584,1,0,132.9956512451172,898.json,NotBuggy
8,0.26325723528862,1,0,111.8012466430664,574.json,NotBuggy
3,0.836341142654419,1,1,131.60296630859375,1075.json,NotBuggy
3,0.8170326948165894,1,0,133.59722900390625,681.json,NotBuggy
8,0.3092343211174011,1,0,111.8012466430664,572.json,NotBuggy
7,0.7564986348152161,2,0,113.8110580444336,319.json,NotBuggy
4,0.08842616528272629,1,4,122.54988861083984,925.json,NotBuggy
8,0.13209088146686554,2,2,109.13004302978516,59.json,NotBuggy
6,0.681343674659729,2,1,115.80840301513672,370.json,NotBuggy
7,0.08200263231992722,2,1,111.3503189086914,651.json,NotBuggy
5,0.02772214263677597,2,2,118.83403015136719,510.json,NotBuggy
3,0.8965228199958801,1,0,133.59722900390625,876.json,NotBuggy
3,0.4701436460018158,1,0,129.9696044921875,680.json,NotBuggy
4,0.1889544278383255,1,1,123.8484878540039,549.json,NotBuggy
4,2.1806854056194425E-4,1,4,121.68689727783203,1150.json,NotBuggy
3,0.23849168419837952,1,3,128.51292419433594,1051.json,NotBuggy
6,0.16172900795936584,2,3,115.60061645507812,248.json,NotBuggy
3,0.7839974164962769,1,0,133.59722900390625,1109.json,NotBuggy
30,0.0,6,21,76.58627319335938,95.json,Buggy
4,0.3035258650779724,1,3,123.94486236572266,120.json,NotBuggy
3,0.3992541432380676,1,4,127.02415466308594,1127.json,NotBuggy
3,0.12928342819213867,1,2,129.93223571777344,182.json,NotBuggy
5,0.575568675994873,1,2,119.2291259765625,163.json,NotBuggy
10,0.16098853945732117,2,6,103.67620086669922,553.json,NotBuggy
4,0.09351541101932526,2,2,120.15471649169922,827.json,NotBuggy
7,0.7638760209083557,2,5,110.77831268310547,703.json,NotBuggy
4,0.43200579285621643,1,4,121.47811889648438,124.json,NotBuggy
12,0.1679784059524536,3,5,100.05924224853516,18.json,NotBuggy
3,0.7432509064674377,1,0,131.9385528564453,258.json,NotBuggy
3,0.6849537491798401,1,1,132.25152587890625,226.json,NotBuggy
7,0.7564986348152161,2,0,113.8110580444336,309.json,NotBuggy
3,0.73414146900177,1,3,130.44261169433594,1049.json,NotBuggy
3,0.10538500547409058,1,2,130.18594360351562,768.json,NotBuggy
4,4.363396146800369E-4,1,0,121.27667999267578,65.json,NotBuggy
4,1.3075547758489847E-4,1,2,121.62247467041016,250.json,NotBuggy
3,0.6831382513046265,1,0,132.9956512451172,241.json,NotBuggy
4,0.13467881083488464,1,2,122.9537353515625,306.json,NotBuggy
3,0.9481608867645264,1,0,133.59722900390625,1028.json,NotBuggy
3,0.016360517591238022,1,2,129.2378692626953,1054.json,Buggy
7,0.03720627725124359,2,8,108.53195190429688,327.json,NotBuggy
3,0.978520929813385,1,0,132.9956512451172,8.json,NotBuggy
3,0.6761637330055237,1,0,130.99049377441406,1135.json,NotBuggy
3,0.4098840057849884,1,1,130.7338104248047,1129.json,NotBuggy
9,0.6926217675209045,3,2,107.95115661621094,1222.json,NotBuggy
3,0.9325527548789978,1,1,131.60296630859375,71.json,NotBuggy
3,0.7304953932762146,1,1,131.60296630859375,463.json,NotBuggy
3,0.7947214841842651,1,0,131.03103637695312,620.json,NotBuggy
3,0.8675714731216431,1,0,132.9956512451172,225.json,NotBuggy
3,0.01686546765267849,1,2,128.60531616210938,771.json,NotBuggy
3,0.5130014419555664,1,2,128.8092498779297,1093.json,NotBuggy
3,0.7505356669425964,1,0,131.28770446777344,1208.json,NotBuggy
4,0.621879518032074,1,0,125.64796447753906,783.json,NotBuggy
7,0.019932294264435768,2,4,108.72756958007812,146.json,NotBuggy
5,0.10196931660175323,2,5,116.8629150390625,1137.json,NotBuggy
3,0.8053854703903198,1,1,132.086669921875,134.json,NotBuggy
12,2.2824892948847264E-4,2,8,97.00045013427734,405.json,NotBuggy
10,0.17950816452503204,2,4,102.79125213623047,845.json,NotBuggy
10,0.005827838089317083,2,10,101.629638671875,868.json,NotBuggy
13,0.07960584759712219,4,5,97.87535095214844,300.json,NotBuggy
8,0.2741793096065521,2,2,109.43476867675781,58.json,NotBuggy
3,0.43479111790657043,1,0,131.28770446777344,598.json,NotBuggy
7,0.6752707362174988,2,3,112.11737823486328,1084.json,NotBuggy
9,0.07926887273788452,1,4,103.89934539794922,5.json,NotBuggy
7,0.07281042635440826,2,4,112.05892944335938,638.json,NotBuggy
3,0.5969946980476379,1,0,132.4454345703125,296.json,NotBuggy
3,0.46210476756095886,1,1,129.93223571777344,918.json,NotBuggy
5,0.0026708997320383787,2,2,116.0655288696289,98.json,NotBuggy
3,0.9381110668182373,1,0,133.59722900390625,500.json,NotBuggy
3,0.06193891540169716,1,1,130.45266723632812,536.json,NotBuggy
3,0.6222650408744812,1,1,132.25152587890625,177.json,NotBuggy
9,7.78944231569767E-4,2,3,103.42412567138672,393.json,NotBuggy
11,0.009956048801541328,4,5,100.48387908935547,797.json,NotBuggy
7,0.4225444495677948,2,1,112.25244903564453,1099.json,NotBuggy
5,0.7432835102081299,2,0,120.8413314819336,921.json,NotBuggy
24,0.02582618035376072,7,7,83.1695327758789,1134.json,NotBuggy
9,0.09330439567565918,1,2,106.81100463867188,719.json,NotBuggy
3,0.8548147082328796,1,0,134.26058959960938,559.json,NotBuggy
3,0.48133203387260437,1,2,129.2378692626953,940.json,NotBuggy
11,0.058124348521232605,4,4,102.50654602050781,99.json,NotBuggy
4,0.8814021348953247,1,1,126.33003997802734,371.json,NotBuggy
