SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
3,0.45973777770996094,1,0,133.59722900390625,35375.json,NotBuggy
3,0.9114326238632202,1,1,133.18099975585938,21852.json,NotBuggy
6,0.32753464579582214,2,2,115.96150970458984,20823.json,NotBuggy
6,0.8772521615028381,2,2,116.7609634399414,9640.json,NotBuggy
3,0.7976735234260559,1,0,132.9956512451172,23917.json,NotBuggy
22,0.003731799777597189,5,17,85.81053924560547,20080.json,Buggy
3,0.7494975924491882,1,0,131.28770446777344,34508.json,NotBuggy
29,0.06596702337265015,6,8,80.86180114746094,14843.json,NotBuggy
3,0.9929409027099609,1,0,133.59722900390625,7760.json,NotBuggy
3,0.9980562925338745,1,0,133.59722900390625,4953.json,NotBuggy
3,0.03599361330270767,1,3,127.25540161132812,31542.json,NotBuggy
3,0.8390688896179199,1,0,133.59722900390625,13448.json,NotBuggy
22,0.004249553196132183,5,15,84.53504180908203,9801.json,NotBuggy
3,0.8728333115577698,1,0,128.50894165039062,36022.json,NotBuggy
10,0.3037261366844177,2,6,104.54479217529297,27723.json,NotBuggy
30,0.0012597385793924332,9,6,77.17678833007812,32217.json,Buggy
3,0.8459007143974304,1,1,132.086669921875,31928.json,NotBuggy
3,0.8113192319869995,1,0,132.9956512451172,6599.json,NotBuggy
6,0.2826177477836609,2,0,115.63639831542969,35437.json,NotBuggy
3,0.9471936225891113,1,0,132.9956512451172,10470.json,NotBuggy
3,0.8813431262969971,1,0,133.59722900390625,37266.json,NotBuggy
308,0.0,49,160,17.42413330078125,16880.json,NotBuggy
3,0.7950810194015503,1,1,131.28770446777344,17071.json,NotBuggy
23,0.0053323437459766865,9,6,83.7850341796875,20426.json,NotBuggy
3,0.6220393776893616,1,0,133.59722900390625,35771.json,NotBuggy
3,0.7496405839920044,1,1,130.18594360351562,3678.json,NotBuggy
3,0.757473886013031,1,1,131.28770446777344,17141.json,NotBuggy
3,0.5247349143028259,1,0,132.25152587890625,22852.json,NotBuggy
3,0.2525436282157898,1,1,131.1535186767578,16005.json,NotBuggy
4,2.5253009516745806E-4,1,1,123.74861145019531,5747.json,NotBuggy
3,0.6916530132293701,1,1,132.086669921875,17150.json,NotBuggy
10,0.923832893371582,3,2,103.67457580566406,20560.json,NotBuggy
15,0.014672521501779556,3,4,93.70628356933594,13847.json,NotBuggy
7,0.20405395328998566,1,1,112.42162322998047,29871.json,NotBuggy
3,0.4687616229057312,1,2,128.50894165039062,2810.json,NotBuggy
3,0.4038199484348297,1,0,132.9956512451172,2294.json,NotBuggy
5,0.5997328162193298,1,0,122.58207702636719,15403.json,Buggy
9,0.1260613352060318,3,3,106.49266052246094,37198.json,NotBuggy
3,0.9328181147575378,1,0,132.9956512451172,29353.json,NotBuggy
23,0.39117470383644104,5,6,81.34225463867188,1843.json,NotBuggy
3,0.8740317225456238,1,0,132.9956512451172,2249.json,NotBuggy
11,0.003806937951594591,2,6,99.3963394165039,3173.json,NotBuggy
5,0.9814116358757019,1,1,120.34770202636719,29594.json,NotBuggy
4,0.021436793729662895,1,1,123.46312713623047,5277.json,NotBuggy
12,0.32555651664733887,3,3,101.83221435546875,12309.json,NotBuggy
24,4.358381265774369E-4,2,16,82.87443542480469,4587.json,NotBuggy
8,0.22858190536499023,2,7,108.78446960449219,36359.json,NotBuggy
91,0.0,18,50,51.48155975341797,24799.json,Buggy
1,0.9820945858955383,1,0,151.39474487304688,24811.json,NotBuggy
3,0.9298040270805359,1,0,133.59722900390625,5352.json,NotBuggy
5,0.12982697784900665,1,0,122.58207702636719,15594.json,NotBuggy
66,0.0,16,40,58.85348892211914,30505.json,Buggy
28,0.0024175692815333605,6,11,78.32176208496094,5916.json,NotBuggy
2,0.9145578742027283,1,0,140.82913208007812,18538.json,NotBuggy
3,0.3446371853351593,1,0,133.59722900390625,6394.json,NotBuggy
3,0.6872554421424866,1,0,133.59722900390625,8517.json,NotBuggy
15,0.0168253593146801,2,15,93.55538940429688,29478.json,NotBuggy
3,0.8870411515235901,1,0,132.9956512451172,13704.json,NotBuggy
8,0.33904504776000977,2,4,108.80433654785156,27970.json,NotBuggy
11,0.8156945109367371,3,0,102.22099304199219,32781.json,NotBuggy
21,0.005046042613685131,4,8,85.8545150756836,12174.json,NotBuggy
3,0.9334432482719421,1,0,133.59722900390625,28773.json,NotBuggy
3,0.7573984265327454,1,0,133.59722900390625,33857.json,NotBuggy
3,0.5352123975753784,1,1,129.81976318359375,28920.json,NotBuggy
3,0.9225170612335205,1,0,133.59722900390625,34035.json,NotBuggy
6,0.9887096881866455,2,0,116.04551696777344,28415.json,NotBuggy
50,0.0,15,5,67.6005859375,29904.json,NotBuggy
3,0.9320020079612732,1,0,132.086669921875,33049.json,NotBuggy
4,0.5135921239852905,1,2,126.1969985961914,13200.json,NotBuggy
3,0.9018006324768066,1,0,132.9956512451172,25228.json,NotBuggy
3,0.9591009616851807,1,1,131.75106811523438,24383.json,NotBuggy
1,0.9868533611297607,1,0,149.88418579101562,26190.json,NotBuggy
3,0.9136022925376892,1,0,133.59722900390625,15691.json,NotBuggy
4,0.5016252994537354,1,1,127.59107971191406,12836.json,NotBuggy
15,0.006073895376175642,3,13,93.58126068115234,29840.json,NotBuggy
3,0.395868182182312,1,0,133.59722900390625,19018.json,NotBuggy
3,0.9131388664245605,1,0,132.9956512451172,26916.json,NotBuggy
3,0.7786598801612854,1,0,131.1535186767578,34710.json,NotBuggy
3,0.8323362469673157,1,0,132.9956512451172,274.json,NotBuggy
2,0.9910542964935303,1,0,140.82913208007812,9750.json,NotBuggy
6,0.3848598599433899,2,0,115.63639831542969,35484.json,NotBuggy
7,0.3217873275279999,1,1,111.8279800415039,22468.json,NotBuggy
3,0.9012095928192139,1,0,132.086669921875,19360.json,NotBuggy
3,0.9939870834350586,1,0,133.59722900390625,21413.json,NotBuggy
