SLOCStandard,Readability,McCabe,totalFanOut,MaintainabilityIndex,file,Decision
4,0.8789423108100891,1,0,128.936767578125,104.json,NotBuggy
24,0.13727565109729767,5,4,85.32489776611328,2260.json,Buggy
4,0.9871492981910706,1,0,128.936767578125,4953.json,NotBuggy
60,0.0,10,31,62.9973258972168,7289.json,Buggy
7,0.0028673759661614895,1,2,111.41885375976562,6599.json,NotBuggy
4,0.8474931120872498,1,0,128.335205078125,3678.json,NotBuggy
5,0.5718691349029541,1,3,120.237548828125,2810.json,NotBuggy
10,0.1010248064994812,2,2,104.68492889404297,2294.json,NotBuggy
4,0.34492260217666626,1,0,125.91468811035156,1843.json,NotBuggy
10,0.3374297618865967,2,3,103.89303588867188,2249.json,Buggy
4,0.8231902718544006,1,0,127.25547790527344,3815.json,NotBuggy
4,0.0025868702214211226,1,0,123.94486236572266,4587.json,NotBuggy
5,0.3355536460876465,1,5,117.7408218383789,8517.json,NotBuggy
7,0.7718167304992676,2,0,113.55591583251953,3848.json,NotBuggy
4,0.5693047642707825,1,0,126.19583892822266,6177.json,Buggy
4,0.9162308573722839,1,0,127.25547790527344,274.json,NotBuggy
4,0.7479520440101624,1,0,124.26470947265625,3599.json,NotBuggy
3,0.9458854794502258,1,0,135.83412170410156,260.json,NotBuggy
4,0.04187774658203125,1,2,126.4781494140625,7920.json,NotBuggy
4,0.902540385723114,1,1,127.42622375488281,3511.json,NotBuggy
5,0.7929857969284058,1,3,120.14375305175781,2527.json,NotBuggy
21,0.21173618733882904,5,3,89.63587951660156,9731.json,NotBuggy
6,0.24062655866146088,1,2,115.1327896118164,3466.json,NotBuggy
5,0.17660880088806152,1,2,121.18380737304688,794.json,NotBuggy
4,0.5001630783081055,1,1,127.59107971191406,3191.json,NotBuggy
4,0.5770983099937439,1,1,125.27178192138672,26.json,NotBuggy
20,0.11072222143411636,3,4,88.58521270751953,2253.json,NotBuggy
4,0.22423502802848816,1,0,126.37059020996094,5045.json,NotBuggy
4,0.9450119137763977,1,0,128.936767578125,3686.json,NotBuggy
5,0.21590012311935425,1,0,122.03304290771484,10336.json,NotBuggy
14,0.2853577136993408,3,5,97.9454574584961,4917.json,NotBuggy
16,0.2261960357427597,4,3,94.65406799316406,4180.json,NotBuggy
8,0.30393487215042114,2,1,111.14976501464844,4795.json,NotBuggy
20,0.2953569293022156,4,2,90.17494201660156,1731.json,NotBuggy
4,0.42227277159690857,1,2,125.64796447753906,2773.json,NotBuggy
4,0.37378624081611633,1,0,128.936767578125,8473.json,NotBuggy
4,0.8298585414886475,1,1,127.59107971191406,2094.json,NotBuggy
14,0.0025676388759166002,4,3,96.98869323730469,1475.json,NotBuggy
4,0.8350517153739929,1,0,128.936767578125,8464.json,NotBuggy
9,0.5530872344970703,2,3,109.47698211669922,4376.json,Buggy
7,0.717466413974762,2,1,111.53955078125,2742.json,NotBuggy
4,0.8222110867500305,1,0,128.335205078125,4257.json,NotBuggy
4,0.9463029503822327,1,1,127.42622375488281,7284.json,NotBuggy
90,0.0,13,39,53.16102981567383,3156.json,NotBuggy
4,0.034524910151958466,1,1,123.19084167480469,9701.json,NotBuggy
4,0.9307869672775269,1,0,127.78498840332031,8305.json,NotBuggy
4,0.6660944223403931,1,1,126.62725830078125,858.json,Buggy
17,0.016011035069823265,4,7,92.86932373046875,7962.json,Buggy
4,0.5131815075874329,1,0,123.67467498779297,3743.json,NotBuggy
4,0.2927670478820801,1,0,128.335205078125,10732.json,NotBuggy
4,0.376177579164505,1,0,128.936767578125,1871.json,NotBuggy
9,0.6169409155845642,2,0,107.33891296386719,5395.json,NotBuggy
4,0.1703653633594513,1,1,124.71717071533203,7625.json,NotBuggy
5,0.21893778443336487,1,4,118.82691955566406,8540.json,NotBuggy
9,3.2778686727397144E-4,2,5,106.2907943725586,5846.json,NotBuggy
14,0.18373799324035645,3,2,99.26517486572266,8813.json,NotBuggy
4,0.6801038980484009,1,0,125.96089172363281,5029.json,NotBuggy
11,0.8170637488365173,3,1,105.60558319091797,3986.json,NotBuggy
16,0.0010833919513970613,2,11,91.90045928955078,2297.json,NotBuggy
5,0.37256374955177307,1,2,120.43379974365234,5527.json,NotBuggy
11,0.5397729873657227,2,4,102.48688507080078,5126.json,NotBuggy
4,0.9900104999542236,1,0,128.335205078125,154.json,NotBuggy
4,0.3922516107559204,1,0,125.96089172363281,5034.json,NotBuggy
4,0.48801130056381226,1,1,126.33003997802734,8312.json,NotBuggy
19,0.003936773166060448,2,8,89.9957275390625,11425.json,NotBuggy
4,0.8538341522216797,1,0,128.936767578125,8154.json,NotBuggy
4,0.26126110553741455,1,0,126.4930648803711,9891.json,NotBuggy
7,0.3624229431152344,2,3,113.3831787109375,10582.json,NotBuggy
4,0.9311137199401855,1,0,128.936767578125,5517.json,NotBuggy
4,0.23838835954666138,1,0,127.25547790527344,2739.json,NotBuggy
4,0.08582515269517899,1,1,123.8484878540039,6326.json,Buggy
8,0.2815599739551544,3,1,109.65406036376953,4550.json,NotBuggy
4,0.4957371950149536,1,0,126.62725830078125,8581.json,NotBuggy
4,0.3867911100387573,1,1,127.94984436035156,2301.json,NotBuggy
4,0.7393849492073059,1,0,127.78498840332031,2710.json,NotBuggy
35,9.044909966178238E-4,6,12,76.47885131835938,5280.json,Buggy
50,0.0,7,21,67.82889556884766,7548.json,Buggy
45,6.63843413349241E-4,2,14,72.80767822265625,799.json,NotBuggy
6,0.41426730155944824,2,0,116.6823501586914,10368.json,NotBuggy
4,0.260381281375885,1,0,128.936767578125,152.json,NotBuggy
4,0.17076294124126434,1,2,124.6862564086914,3846.json,NotBuggy
6,0.7369252443313599,1,4,116.02641296386719,6162.json,NotBuggy
3,0.035085529088974,1,1,128.8092498779297,855.json,NotBuggy
5,0.5686445236206055,1,3,121.30628204345703,544.json,NotBuggy
4,0.763796329498291,1,1,127.59107971191406,7989.json,NotBuggy
4,0.7389990091323853,1,0,128.936767578125,6120.json,Buggy
4,0.3863309621810913,1,0,125.27178192138672,4586.json,NotBuggy
16,0.22536763548851013,3,1,97.71101379394531,1423.json,NotBuggy
4,0.5746335983276367,1,2,127.25547790527344,6617.json,NotBuggy
8,0.5732134580612183,2,2,111.73185729980469,2191.json,Buggy
4,0.7002582550048828,1,0,128.936767578125,8155.json,NotBuggy
4,0.6981817483901978,1,0,128.936767578125,10256.json,NotBuggy
13,0.1208711490035057,1,7,96.70218658447266,4898.json,NotBuggy
5,0.32801297307014465,1,4,117.87252044677734,6712.json,NotBuggy
13,0.6072525382041931,3,4,98.39431762695312,10073.json,NotBuggy
4,0.9150988459587097,1,0,128.936767578125,8722.json,NotBuggy
4,0.5366652607917786,1,1,128.13519287109375,10204.json,NotBuggy
4,0.3115643560886383,1,1,127.59107971191406,5053.json,NotBuggy
4,0.1642751544713974,1,0,128.936767578125,1605.json,NotBuggy
4,0.15874053537845612,1,0,128.936767578125,5661.json,NotBuggy
19,0.010966135188937187,3,4,90.36234283447266,3711.json,NotBuggy
4,0.8010423183441162,1,1,125.15930938720703,5249.json,NotBuggy
4,0.8393871188163757,1,0,128.936767578125,7662.json,NotBuggy
4,0.39213040471076965,1,1,124.26470947265625,7280.json,NotBuggy
4,0.4618034362792969,1,0,128.936767578125,3729.json,NotBuggy
4,0.745703399181366,1,0,128.335205078125,2987.json,NotBuggy
20,0.34603607654571533,5,4,90.76770782470703,3793.json,NotBuggy
4,0.9125428795814514,2,0,123.91880798339844,5180.json,NotBuggy
19,0.33113130927085876,4,5,91.90493774414062,7313.json,Buggy
4,0.7772886753082275,1,0,128.936767578125,8157.json,NotBuggy
5,0.4873207211494446,1,2,121.41495513916016,1402.json,NotBuggy
17,0.26982030272483826,3,3,95.18994140625,10075.json,NotBuggy
4,0.25992855429649353,1,1,125.79222106933594,10090.json,NotBuggy
15,0.03503457456827164,3,8,94.98429870605469,9896.json,Buggy
12,0.11206977069377899,2,4,103.45988464355469,10860.json,NotBuggy
4,0.616879940032959,1,0,128.936767578125,3537.json,NotBuggy
4,0.5499892234802246,1,0,127.78498840332031,8187.json,NotBuggy
4,0.7567225694656372,1,0,128.936767578125,8167.json,NotBuggy
29,3.081725735682994E-4,4,6,80.79141235351562,6185.json,Buggy
15,0.4587620496749878,2,8,97.7237548828125,5776.json,Buggy
3,0.6840419769287109,1,0,134.26058959960938,7491.json,NotBuggy
8,0.06627725064754486,2,5,108.13622283935547,4350.json,NotBuggy
4,0.8140153288841248,1,0,128.936767578125,3121.json,NotBuggy
3,0.1734512597322464,1,0,133.59722900390625,8335.json,NotBuggy
4,0.6796199679374695,1,1,126.19583892822266,3625.json,NotBuggy
7,0.08305572718381882,2,5,112.05997467041016,1790.json,Buggy
4,0.782096803188324,1,0,128.936767578125,8721.json,NotBuggy
18,0.0253315269947052,3,3,92.81133270263672,3776.json,NotBuggy
4,0.6074813008308411,1,1,127.09062194824219,5187.json,NotBuggy
10,0.1955399215221405,1,9,103.99359893798828,10501.json,Buggy
4,0.6390070915222168,1,0,128.13519287109375,6762.json,NotBuggy
4,0.4246504008769989,1,0,125.91468811035156,6562.json,Buggy
14,0.03482638671994209,3,4,97.90939331054688,3991.json,NotBuggy
4,0.9534358978271484,1,0,128.936767578125,6698.json,NotBuggy
4,0.29474443197250366,1,1,122.8651351928711,11215.json,NotBuggy
4,0.46293339133262634,1,0,126.62725830078125,3823.json,NotBuggy
4,0.7239787578582764,1,1,125.0554428100586,8547.json,NotBuggy
3,0.8420180082321167,1,0,133.59722900390625,9098.json,NotBuggy
19,1.0835402645170689E-4,1,17,91.17069244384766,2906.json,NotBuggy
4,0.8560357689857483,1,0,128.936767578125,3821.json,NotBuggy
4,0.7033209204673767,1,0,126.62725830078125,8379.json,NotBuggy
58,0.0,8,24,64.92198181152344,8248.json,NotBuggy
2,0.9534236192703247,1,0,139.0139617919922,9233.json,NotBuggy
10,0.03722115978598595,3,3,103.17794799804688,9903.json,NotBuggy
5,0.7541845440864563,1,2,121.18380737304688,370.json,NotBuggy
4,0.5075436234474182,1,0,126.62725830078125,7990.json,NotBuggy
23,0.051722683012485504,4,15,85.19192504882812,10435.json,NotBuggy
3,0.7855788469314575,1,0,132.9956512451172,8183.json,NotBuggy
94,0.0,17,44,51.8585205078125,7118.json,Buggy
4,0.9818830490112305,1,0,128.936767578125,5736.json,NotBuggy
4,0.9031051993370056,1,0,126.4781494140625,10594.json,NotBuggy
4,0.9194732904434204,1,0,128.936767578125,6266.json,NotBuggy
4,0.30228880047798157,1,0,124.25267028808594,10657.json,NotBuggy
4,0.25926128029823303,1,1,123.28931427001953,5152.json,NotBuggy
3,0.3580368161201477,1,0,134.26058959960938,10447.json,NotBuggy
8,0.2182309478521347,2,4,110.44464111328125,7690.json,NotBuggy
3,0.4342241585254669,1,0,134.26058959960938,10358.json,NotBuggy
4,0.9037371277809143,1,0,128.335205078125,5731.json,NotBuggy
10,0.4907810091972351,2,3,105.75442504882812,5602.json,NotBuggy
7,0.12433765828609467,2,3,113.5693588256836,10319.json,NotBuggy
4,0.5965028405189514,1,2,126.04888916015625,30.json,NotBuggy
11,0.7337743043899536,2,1,106.57290649414062,5039.json,NotBuggy
4,0.4499017596244812,1,1,125.30915069580078,6669.json,NotBuggy
4,0.6915695667266846,1,0,126.33003997802734,4643.json,NotBuggy
4,0.8520155549049377,1,0,127.94984436035156,8462.json,NotBuggy
4,0.8691872954368591,1,0,128.936767578125,2816.json,NotBuggy
4,0.9194732904434204,1,0,128.936767578125,5519.json,NotBuggy
4,0.4488067924976349,1,1,126.62725830078125,4144.json,NotBuggy
10,0.5397497415542603,2,1,107.52104187011719,3225.json,NotBuggy
11,0.003591657616198063,2,7,102.121826171875,8285.json,NotBuggy
4,0.4791523516178131,1,1,127.09062194824219,5094.json,NotBuggy
4,0.7473913431167603,1,1,128.13519287109375,11258.json,NotBuggy
4,0.8748419284820557,1,0,127.27810668945312,4568.json,Buggy
4,0.7638997435569763,1,0,128.936767578125,6028.json,Buggy
8,0.4448808431625366,2,2,110.59750366210938,4136.json,NotBuggy
11,0.38515815138816833,2,3,104.93248748779297,549.json,NotBuggy
6,0.026486724615097046,1,2,116.8047866821289,7287.json,NotBuggy
4,0.3612232506275177,1,0,126.19583892822266,1460.json,NotBuggy
4,0.15619716048240662,1,1,124.361083984375,3546.json,NotBuggy
4,0.6850172281265259,1,1,126.33003997802734,3453.json,NotBuggy
6,0.33855706453323364,1,3,118.26555633544922,11238.json,NotBuggy
4,0.3154839277267456,1,0,126.80831146240234,1813.json,NotBuggy
4,0.07393001019954681,1,1,125.79222106933594,6051.json,NotBuggy
4,0.040141649544239044,1,0,128.936767578125,4430.json,NotBuggy
4,0.5879440903663635,1,0,126.62725830078125,8314.json,NotBuggy
4,0.8314379453659058,1,2,127.09062194824219,3957.json,NotBuggy
4,0.7011985182762146,1,0,128.936767578125,6132.json,NotBuggy
4,0.7960305213928223,1,1,126.62725830078125,3617.json,NotBuggy
4,0.3782390058040619,1,0,127.59107971191406,4957.json,NotBuggy
4,0.5505037307739258,1,0,125.5254898071289,4769.json,NotBuggy
4,0.45683711767196655,1,2,124.25267028808594,10072.json,NotBuggy
